compound_id	protein_id	n_supporting_assays	n_supporting_documents	max_seed_proteins_in_one_document	multiplexed_proteomics	proteome_scale_readout	biophysical_method	min_confidence_score	assay_types	example_assay_description	evidence_grade
CHEMBL1232461	EEF1D	6	1	6	True	True	False	9	B	Inhibition of EEF1D (unknown origin) assessed as fold change at 10 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis	multiplexed_pulldown
CHEMBL1232461	EEF1G	6	1	6	True	True	False	9	B	Inhibition of EEF1G (unknown origin) assessed as fold change at 10 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis	multiplexed_pulldown
CHEMBL1232461	RPS3A	6	1	6	True	True	False	9	B	Inhibition of RPS3A (unknown origin) assessed as fold change at 10 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis	multiplexed_pulldown
CHEMBL1802814	EEF1A1	2	1	2	False	False	True	9	B	Binding affinity to eEF1A1 in human MDA-MB-231 cells using biotinylated compound using Western blot analysis based pull down assay	direct_biophysical
CHEMBL1802814	EEF1A2	1	1	2	False	False	True	9	B	Binding affinity to eEF1A2 expressed in human MDA-MB-231 cells using 1 uM biotinylated compound immobilized on streptavidin sensor chip by surface plasmon resonance method	direct_biophysical
CHEMBL1802815	EEF1A1	2	1	2	False	False	True	9	B	Binding affinity to eEF1A1 in human MDA-MB-231 cells using biotinylated compound using Western blot analysis based pull down assay	direct_biophysical
CHEMBL1802815	EEF1A2	1	1	2	False	False	True	9	B	Binding affinity to eEF1A2 expressed in human MDA-MB-231 cells using 1 uM biotinylated compound immobilized on streptavidin sensor chip by surface plasmon resonance method	direct_biophysical
CHEMBL1802973	EEF1A1	1	1	2	False	False	True	9	B	Binding affinity to eEF1A1 expressed in human MDA-MB-231 cells using 1 uM biotinylated compound immobilized on streptavidin sensor chip by surface plasmon resonance method	direct_biophysical
CHEMBL1802973	EEF1A2	7	1	2	False	False	True	9	B	Binding affinity to eEF1A2 expressed in human MDA-MB-231 cells using 1 uM biotinylated compound immobilized on streptavidin sensor chip by surface plasmon resonance method	direct_biophysical
CHEMBL2103840	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17AAG-induced HSF1-mediated HSP72 expression in human U2OS cells preincubated for 1 hr followed by 17AAG addition measured after 18 hrs by ELISA	assay_reported
CHEMBL301982	HSF1	4	2	1	False	False	False	9	B	Amplification of HSF1 transcriptional activity in human heat shock-induced HeLa cells assessed as granule formation treated 1 hr before heat shock challenge measured after 2 hrs without recovery time by immunocytochemical staining	assay_reported
CHEMBL3301622	RAN	1	1	1	False	True	False	9	B	Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.	proteome_readout
CHEMBL3609826	HSF1	1	1	1	False	False	False	9	B	Inhibition of HSF1 (unknown origin) assessed as reduction in HSF1--mediated HSP transcription	assay_reported
CHEMBL3752910	EEF1D	1	1	10	True	True	False	9	B	Binding affinity to human EEF1D incubated for 45 mins by Kinobead based pull down assay	multiplexed_pulldown
CHEMBL3752910	EEF1G	1	1	10	True	True	False	9	B	Binding affinity to human EEF1G incubated for 45 mins by Kinobead based pull down assay	multiplexed_pulldown
CHEMBL3752910	RAN	1	1	10	True	True	False	9	B	Binding affinity to human RAN incubated for 45 mins by Kinobead based pull down assay	multiplexed_pulldown
CHEMBL3752910	RPL18A	1	1	10	True	True	False	9	B	Binding affinity to human RPL18A incubated for 45 mins by Kinobead based pull down assay	multiplexed_pulldown
CHEMBL3752910	RPL3	1	1	10	True	True	False	9	B	Binding affinity to human RPL3 incubated for 45 mins by Kinobead based pull down assay	multiplexed_pulldown
CHEMBL3752910	RPL4	1	1	10	True	True	False	9	B	Binding affinity to human RPL4 incubated for 45 mins by Kinobead based pull down assay	multiplexed_pulldown
CHEMBL3752910	RPL7	1	1	10	True	True	False	9	B	Binding affinity to human RPL7 incubated for 45 mins by Kinobead based pull down assay	multiplexed_pulldown
CHEMBL3752910	RPS2	1	1	10	True	True	False	9	B	Binding affinity to human RPS2 incubated for 45 mins by Kinobead based pull down assay	multiplexed_pulldown
CHEMBL3752910	RPS3	1	1	10	True	True	False	9	B	Binding affinity to human RPS3 incubated for 45 mins by Kinobead based pull down assay	multiplexed_pulldown
CHEMBL3752910	RPS3A	1	1	10	True	True	False	9	B	Binding affinity to human RPS3A incubated for 45 mins by Kinobead based pull down assay	multiplexed_pulldown
CHEMBL3891011	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17AAG-induced HSF1-mediated HSP72 expression in human U2OS cells preincubated for 1 hr followed by 17AAG addition measured after overnight incubation by ArrayScan analysis	assay_reported
CHEMBL3900925	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17AAG-induced HSF1-mediated HSP72 expression in human U2OS cells preincubated for 1 hr followed by 17AAG addition measured after overnight incubation by ArrayScan analysis	assay_reported
CHEMBL3901185	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17AAG-induced HSF1-mediated HSP72 expression in human U2OS cells preincubated for 1 hr followed by 17AAG addition measured after overnight incubation by ArrayScan analysis	assay_reported
CHEMBL3905315	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17AAG-induced HSF1-mediated HSP72 expression in human U2OS cells preincubated for 1 hr followed by 17AAG addition measured after overnight incubation by ArrayScan analysis	assay_reported
CHEMBL3911352	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17AAG-induced HSF1-mediated HSP72 expression in human U2OS cells preincubated for 1 hr followed by 17AAG addition measured after overnight incubation by ArrayScan analysis	assay_reported
CHEMBL3916672	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17AAG-induced HSF1-mediated HSP72 expression in human U2OS cells preincubated for 1 hr followed by 17AAG addition measured after overnight incubation by ArrayScan analysis	assay_reported
CHEMBL3919459	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17AAG-induced HSF1-mediated HSP72 expression in human U2OS cells preincubated for 1 hr followed by 17AAG addition measured after overnight incubation by ArrayScan analysis	assay_reported
CHEMBL3919811	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17AAG-induced HSF1-mediated HSP72 expression in human U2OS cells preincubated for 1 hr followed by 17AAG addition measured after overnight incubation by ArrayScan analysis	assay_reported
CHEMBL3922414	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17AAG-induced HSF1-mediated HSP72 expression in human U2OS cells preincubated for 1 hr followed by 17AAG addition measured after overnight incubation by ArrayScan analysis	assay_reported
CHEMBL3923966	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17AAG-induced HSF1-mediated HSP72 expression in human U2OS cells preincubated for 1 hr followed by 17AAG addition measured after overnight incubation by ArrayScan analysis	assay_reported
CHEMBL3928361	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17AAG-induced HSF1-mediated HSP72 expression in human U2OS cells preincubated for 1 hr followed by 17AAG addition measured after overnight incubation by ArrayScan analysis	assay_reported
CHEMBL3936187	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17AAG-induced HSF1-mediated HSP72 expression in human U2OS cells preincubated for 1 hr followed by 17AAG addition measured after overnight incubation by ArrayScan analysis	assay_reported
CHEMBL3937369	HSF1	2	1	1	False	False	False	9	B	Inhibition of 17AAG-induced HSF1-mediated HSP72 expression in human U2OS cells preincubated for 1 hr followed by 17AAG addition measured after overnight incubation by ArrayScan analysis	assay_reported
CHEMBL3944589	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17AAG-induced HSF1-mediated HSP72 expression in human U2OS cells preincubated for 1 hr followed by 17AAG addition measured after overnight incubation by ArrayScan analysis	assay_reported
CHEMBL3946252	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17AAG-induced HSF1-mediated HSP72 expression in human U2OS cells preincubated for 1 hr followed by 17AAG addition measured after overnight incubation by ArrayScan analysis	assay_reported
CHEMBL3947240	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17AAG-induced HSF1-mediated HSP72 expression in human U2OS cells preincubated for 1 hr followed by 17AAG addition measured after overnight incubation by ArrayScan analysis	assay_reported
CHEMBL3953713	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17AAG-induced HSF1-mediated HSP72 expression in human U2OS cells preincubated for 1 hr followed by 17AAG addition measured after overnight incubation by ArrayScan analysis	assay_reported
CHEMBL3955977	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17AAG-induced HSF1-mediated HSP72 expression in human U2OS cells preincubated for 1 hr followed by 17AAG addition measured after overnight incubation by ArrayScan analysis	assay_reported
CHEMBL3964729	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17AAG-induced HSF1-mediated HSP72 expression in human U2OS cells preincubated for 1 hr followed by 17AAG addition measured after overnight incubation by ArrayScan analysis	assay_reported
CHEMBL3967087	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17AAG-induced HSF1-mediated HSP72 expression in human U2OS cells preincubated for 1 hr followed by 17AAG addition measured after 18 hrs by ELISA	assay_reported
CHEMBL3972065	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17AAG-induced HSF1-mediated HSP72 expression in human U2OS cells preincubated for 1 hr followed by 17AAG addition measured after overnight incubation by ArrayScan analysis	assay_reported
CHEMBL3975567	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17AAG-induced HSF1-mediated HSP72 expression in human U2OS cells preincubated for 1 hr followed by 17AAG addition measured after overnight incubation by ArrayScan analysis	assay_reported
CHEMBL3983798	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17AAG-induced HSF1-mediated HSP72 expression in human U2OS cells preincubated for 1 hr followed by 17AAG addition measured after overnight incubation by ArrayScan analysis	assay_reported
CHEMBL4063330	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17-AAG-induced HSF1 pathway in human SKOV3 cells assessed as reduction in HSP72 induction preincubated for 1 hr followed by 17-AAG addition measured after 18 hrs by ELISA	assay_reported
CHEMBL4069552	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17-AAG-induced HSF1 pathway in human SKOV3 cells assessed as reduction in HSP72 induction preincubated for 1 hr followed by 17-AAG addition measured after 18 hrs by ELISA	assay_reported
