compound_id	pref_name	max_phase	canonical_smiles	pubchem_cid	inchikey	alogp	mw	n_vendors	example_vendors	structure_source
CHEMBL3301622	GILTERITINIB	4.0	CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1	49803313	GYQYAJJFPNQOOW-UHFFFAOYSA-N	2.7	552.72	82	001Chemical; 10X CHEM; 1st Scientific; A2B Chem; AA BLOCKS	ChEMBL
CHEMBL2103840	DINACICLIB	3.0	CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12	46926350	PIMQWRZWLQKKBJ-SFHVURJKSA-N	2.28	396.5	65	001Chemical; 10X CHEM; A2B Chem; AA BLOCKS; AChemBlock	ChEMBL
CHEMBL5653589			Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12	117602383	MWKSRKSEWLRPBL-UHFFFAOYSA-N	5.75	503.49	29	10X CHEM; A2B Chem; AA BLOCKS; AChemBlock; AKos Consulting & Solutions	ChEMBL
CHEMBL3752910			Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C	16747388	ZCCPLJOKGAACRT-UHFFFAOYSA-N	5.75	503.49	68	001Chemical; 10X CHEM; A2B Chem; AA BLOCKS; AChemBlock	ChEMBL
CHEMBL1232461	MOLIBRESIB	2.0	CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21	46943432	AAAQFGUYHFJNHI-SFHVURJKSA-N	3.66	423.9	73	001Chemical; 10X CHEM; 1st Scientific; A2B Chem; AA BLOCKS	ChEMBL
CHEMBL1802814			COc1ccc(Nc2nc3cc4c(=O)cc(-c5ccc(C(=O)N[C@@H](CC(C)C)C(N)=O)cc5)oc4cc3n2[C@H](C)C2CCCCC2)cc1	53362901	JEZQQOPCGJRMDS-IPBJYNAHSA-N	7.33	649.79	0		ChEMBL
CHEMBL1802815			CC(C)CNc1nc2cc3c(=O)cc(-c4ccc(C(=O)N[C@@H](Cc5ccccc5)C(N)=O)cc4)oc3cc2n1Cc1ccccc1	56662893	XDQGSQOIWVSUFW-PMERELPUSA-N	5.75	613.72	0		ChEMBL
CHEMBL1802973			CC(C)C[C@H](NC(=O)c1ccc(-c2cc(=O)c3cc([N+](=O)[O-])c(N[C@H](C)C4CCCCC4)cc3o2)cc1)C(N)=O	53361218	OYKRHXHJPJWNMX-KOSHJBKYSA-N	5.38	548.64	0		ChEMBL
CHEMBL555689			CCn1nc(-c2cccs2)nc2c(=O)n(C)c(=O)nc1-2	653297	DMDNERFCUCYCGM-UHFFFAOYSA-N	0.59	289.32	6	AKos Consulting & Solutions; Ambinter; Ambinter; ChemBridge; Enamine	ChEMBL
CHEMBL559594			CCCCn1nc(-c2ccc(C)s2)[n+]([O-])c2c(=O)n(C)c(=O)nc1-2	45269171	UDMKVJCASYFONX-UHFFFAOYSA-N	0.91	347.4	0		ChEMBL
CHEMBL564799			CCCCn1nc(-c2ccc(C)o2)nc2c(=O)n(C)c(=O)nc1-2	45267447	MYWMFLCKMKZDSX-UHFFFAOYSA-N	1.21	315.33	0		ChEMBL
CHEMBL561125			CCCCn1nc(-c2ccc(C)o2)[n+]([O-])c2c(=O)n(C)c(=O)nc1-2	45268296	HOBFQPKNKRULRW-UHFFFAOYSA-N	0.44	331.33	0		ChEMBL
CHEMBL562794			CCn1nc(-c2ccco2)nc2c(=O)n(C)c(=O)nc1-2	45272588	YPGAYOUQBDJBPU-UHFFFAOYSA-N	0.12	273.25	0		ChEMBL
CHEMBL560663			CCCCn1nc(-c2ncc[nH]2)nc2c(=O)n(C)c(=O)nc1-2	135965889	QLOFRZSKJFSZHA-UHFFFAOYSA-N	0.03	301.31	0		ChEMBL
CHEMBL550249			CCCCn1nc(-c2nccs2)nc2c(=O)n(C)c(=O)nc1-2	45270872	XJPHETUDAMHBCJ-UHFFFAOYSA-N	0.76	318.36	0		ChEMBL
CHEMBL558033			CCCCn1nc(-c2ccc3ccccc3n2)nc2c(=O)n(C)c(=O)nc1-2	45269185	WURCSYLFHHVRHA-UHFFFAOYSA-N	1.85	362.39	0		ChEMBL
CHEMBL564316			CCCCn1nc(-c2nc3ccccc3s2)nc2c(=O)n(C)c(=O)nc1-2	44556046	REUQOCZUYLFNNL-UHFFFAOYSA-N	1.91	368.42	0		ChEMBL
CHEMBL559039			CC(C)CCn1nc(-c2nc3ccccc3s2)nc2c(=O)n(C)c(=O)nc1-2	45272597	MYDWOGMGSXXIBZ-UHFFFAOYSA-N	2.16	382.45	0		ChEMBL
CHEMBL550251			CC(C)Cn1nc(-c2nc3ccccc3s2)nc2c(=O)n(C)c(=O)nc1-2	45270874	BIUGJTQNFKZQGD-UHFFFAOYSA-N	1.77	368.42	0		ChEMBL
CHEMBL565134			Cn1c(=O)nc2n(Cc3ccccc3)nc(-c3nc4ccccc4s3)nc-2c1=O	45269197	KXUYENFWLPLQIV-UHFFFAOYSA-N	2.16	402.44	0		ChEMBL
CHEMBL301982	CELASTROL		CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)O)CC[C@]3(C)CC[C@]12C	122724	KQJSQWZMSAGSHN-JJWQIEBTSA-N	6.7	450.62	77	001Chemical; AChemBlock; AKos Consulting & Solutions; AbaChemScene; Accela ChemBio Inc.	ChEMBL
CHEMBL1240927			O=CN1CC/C(=C/c2ccc3c(c2)OCO3)C1=O	9859662	LZGGUFLRKIMBDQ-YHYXMXQVSA-N	1.19	245.23	13	AKos Consulting & Solutions; Biorbyt; CATO Research Chemicals Inc.; Chem-Space.com Database; ChemShuttle	ChEMBL
