compound_id	target_gene	metapath	dwpc
CHEMBL1221911	EEF1A1	CbG	0.3079630127583798
CHEMBL123292	EEF1A1	CbG	0.3079630127583798
CHEMBL2303630	EEF1A1	CbG	0.3079630127583798
CHEMBL1802814	EEF1A1	CbG	0.23339232015516465
CHEMBL1802815	EEF1A1	CbG	0.23339232015516465
CHEMBL1802973	EEF1A1	CbG	0.23339232015516465
CHEMBL3799977	EEF1A1	CbG	0.3079630127583798
CHEMBL4066032	EEF1A1	CbG	0.3079630127583798
CHEMBL4095101	EEF1A1	CbG	0.3079630127583798
CHEMBL4097524	EEF1A1	CbG	0.3079630127583798
CHEMBL4070348	EEF1A1	CbG	0.3079630127583798
CHEMBL4094319	EEF1A1	CbG	0.3079630127583798
CHEMBL4072881	EEF1A1	CbG	0.3079630127583798
CHEMBL4067648	EEF1A1	CbG	0.3079630127583798
CHEMBL4088864	EEF1A1	CbG	0.3079630127583798
CHEMBL4105227	EEF1A1	CbG	0.3079630127583798
CHEMBL514569	EEF1A1	CbG	0.3079630127583798
CHEMBL4294164	EEF1A1	CbG	0.3079630127583798
CHEMBL1232461	EEF1A1	CbG	0.3079630127583798
CHEMBL1802814	EEF1A2	CbG	0.435275281648062
CHEMBL1802815	EEF1A2	CbG	0.435275281648062
CHEMBL1802973	EEF1A2	CbG	0.435275281648062
CHEMBL5653589	EEF1A2	CbG	0.5743491774985174
CHEMBL1802814	EEF1A1	CbGiG	0.05716313149091577
CHEMBL1802815	EEF1A1	CbGiG	0.05716313149091577
CHEMBL1802973	EEF1A1	CbGiG	0.05716313149091577
CHEMBL5653589	EEF1A1	CbGiG	0.07542720420681451
CHEMBL1221911	EEF1A2	CbGiG	0.04044367078689182
CHEMBL123292	EEF1A2	CbGiG	0.04044367078689182
CHEMBL2303630	EEF1A2	CbGiG	0.04044367078689182
CHEMBL1802814	EEF1A2	CbGiG	0.030650570911092277
CHEMBL1802815	EEF1A2	CbGiG	0.030650570911092277
CHEMBL1802973	EEF1A2	CbGiG	0.030650570911092277
CHEMBL3799977	EEF1A2	CbGiG	0.04044367078689182
CHEMBL4066032	EEF1A2	CbGiG	0.04044367078689182
CHEMBL4095101	EEF1A2	CbGiG	0.04044367078689182
CHEMBL4097524	EEF1A2	CbGiG	0.04044367078689182
CHEMBL4070348	EEF1A2	CbGiG	0.04044367078689182
CHEMBL4094319	EEF1A2	CbGiG	0.04044367078689182
CHEMBL4072881	EEF1A2	CbGiG	0.04044367078689182
CHEMBL4067648	EEF1A2	CbGiG	0.04044367078689182
CHEMBL4088864	EEF1A2	CbGiG	0.04044367078689182
CHEMBL4105227	EEF1A2	CbGiG	0.04044367078689182
CHEMBL514569	EEF1A2	CbGiG	0.04044367078689182
CHEMBL4294164	EEF1A2	CbGiG	0.04044367078689182
CHEMBL1232461	EEF1A2	CbGiG	0.04044367078689182
CHEMBL1221911	EEF1A1	CbGpBP	0.24749169699620133
CHEMBL123292	EEF1A1	CbGpBP	0.24749169699620133
CHEMBL2303630	EEF1A1	CbGpBP	0.24749169699620133
CHEMBL1802814	EEF1A1	CbGpBP	0.314507720951957
CHEMBL1802815	EEF1A1	CbGpBP	0.314507720951957
CHEMBL1802973	EEF1A1	CbGpBP	0.314507720951957
CHEMBL3799977	EEF1A1	CbGpBP	0.24749169699620133
CHEMBL4066032	EEF1A1	CbGpBP	0.24749169699620133
CHEMBL4095101	EEF1A1	CbGpBP	0.24749169699620133
CHEMBL4097524	EEF1A1	CbGpBP	0.24749169699620133
CHEMBL4070348	EEF1A1	CbGpBP	0.24749169699620133
CHEMBL4094319	EEF1A1	CbGpBP	0.24749169699620133
CHEMBL4072881	EEF1A1	CbGpBP	0.24749169699620133
CHEMBL4067648	EEF1A1	CbGpBP	0.24749169699620133
CHEMBL4088864	EEF1A1	CbGpBP	0.24749169699620133
CHEMBL4105227	EEF1A1	CbGpBP	0.24749169699620133
CHEMBL514569	EEF1A1	CbGpBP	0.24749169699620133
CHEMBL4294164	EEF1A1	CbGpBP	0.24749169699620133
CHEMBL1232461	EEF1A1	CbGpBP	0.24749169699620133
CHEMBL5653589	EEF1A1	CbGpBP	0.16750372879905995
CHEMBL1221911	EEF1A2	CbGpBP	0.08981461972991898
CHEMBL123292	EEF1A2	CbGpBP	0.08981461972991898
CHEMBL2303630	EEF1A2	CbGpBP	0.08981461972991898
CHEMBL1802814	EEF1A2	CbGpBP	0.36095032723220183
CHEMBL1802815	EEF1A2	CbGpBP	0.36095032723220183
CHEMBL1802973	EEF1A2	CbGpBP	0.36095032723220183
CHEMBL3799977	EEF1A2	CbGpBP	0.08981461972991898
CHEMBL4066032	EEF1A2	CbGpBP	0.08981461972991898
CHEMBL4095101	EEF1A2	CbGpBP	0.08981461972991898
CHEMBL4097524	EEF1A2	CbGpBP	0.08981461972991898
CHEMBL4070348	EEF1A2	CbGpBP	0.08981461972991898
CHEMBL4094319	EEF1A2	CbGpBP	0.08981461972991898
CHEMBL4072881	EEF1A2	CbGpBP	0.08981461972991898
CHEMBL4067648	EEF1A2	CbGpBP	0.08981461972991898
CHEMBL4088864	EEF1A2	CbGpBP	0.08981461972991898
CHEMBL4105227	EEF1A2	CbGpBP	0.08981461972991898
CHEMBL514569	EEF1A2	CbGpBP	0.08981461972991898
CHEMBL4294164	EEF1A2	CbGpBP	0.08981461972991898
CHEMBL1232461	EEF1A2	CbGpBP	0.08981461972991898
CHEMBL5653589	EEF1A2	CbGpBP	0.3864621924490361
CHEMBL1221911	EEF1A1	CbGpMF	0.2744881357935519
CHEMBL123292	EEF1A1	CbGpMF	0.2744881357935519
CHEMBL2303630	EEF1A1	CbGpMF	0.2744881357935519
CHEMBL1802814	EEF1A1	CbGpMF	0.3348042748852076
CHEMBL1802815	EEF1A1	CbGpMF	0.3348042748852076
CHEMBL1802973	EEF1A1	CbGpMF	0.3348042748852076
CHEMBL3799977	EEF1A1	CbGpMF	0.2744881357935519
CHEMBL4066032	EEF1A1	CbGpMF	0.2744881357935519
CHEMBL4095101	EEF1A1	CbGpMF	0.2744881357935519
CHEMBL4097524	EEF1A1	CbGpMF	0.2744881357935519
CHEMBL4070348	EEF1A1	CbGpMF	0.2744881357935519
CHEMBL4094319	EEF1A1	CbGpMF	0.2744881357935519
CHEMBL4072881	EEF1A1	CbGpMF	0.2744881357935519
CHEMBL4067648	EEF1A1	CbGpMF	0.2744881357935519
CHEMBL4088864	EEF1A1	CbGpMF	0.2744881357935519
CHEMBL4105227	EEF1A1	CbGpMF	0.2744881357935519
CHEMBL514569	EEF1A1	CbGpMF	0.2744881357935519
CHEMBL4294164	EEF1A1	CbGpMF	0.2744881357935519
CHEMBL1232461	EEF1A1	CbGpMF	0.2744881357935519
CHEMBL5653589	EEF1A1	CbGpMF	0.16728875347806219
CHEMBL1221911	EEF1A2	CbGpMF	0.08969935109175096
CHEMBL123292	EEF1A2	CbGpMF	0.08969935109175096
CHEMBL2303630	EEF1A2	CbGpMF	0.08969935109175096
CHEMBL1802814	EEF1A2	CbGpMF	0.3805186911448763
CHEMBL1802815	EEF1A2	CbGpMF	0.3805186911448763
CHEMBL1802973	EEF1A2	CbGpMF	0.3805186911448763
CHEMBL3799977	EEF1A2	CbGpMF	0.08969935109175096
CHEMBL4066032	EEF1A2	CbGpMF	0.08969935109175096
CHEMBL4095101	EEF1A2	CbGpMF	0.08969935109175096
CHEMBL4097524	EEF1A2	CbGpMF	0.08969935109175096
CHEMBL4070348	EEF1A2	CbGpMF	0.08969935109175096
CHEMBL4094319	EEF1A2	CbGpMF	0.08969935109175096
CHEMBL4072881	EEF1A2	CbGpMF	0.08969935109175096
CHEMBL4067648	EEF1A2	CbGpMF	0.08969935109175096
CHEMBL4088864	EEF1A2	CbGpMF	0.08969935109175096
CHEMBL4105227	EEF1A2	CbGpMF	0.08969935109175096
CHEMBL514569	EEF1A2	CbGpMF	0.08969935109175096
CHEMBL4294164	EEF1A2	CbGpMF	0.08969935109175096
CHEMBL1232461	EEF1A2	CbGpMF	0.08969935109175096
CHEMBL5653589	EEF1A2	CbGpMF	0.41239807207086104
CHEMBL1221911	EEF1A1	CbGpCC	0.27907279567094506
CHEMBL123292	EEF1A1	CbGpCC	0.27907279567094506
CHEMBL2303630	EEF1A1	CbGpCC	0.27907279567094506
CHEMBL1802814	EEF1A1	CbGpCC	0.28650259938550504
CHEMBL1802815	EEF1A1	CbGpCC	0.28650259938550504
CHEMBL1802973	EEF1A1	CbGpCC	0.28650259938550504
CHEMBL3799977	EEF1A1	CbGpCC	0.27907279567094506
CHEMBL4066032	EEF1A1	CbGpCC	0.27907279567094506
CHEMBL4095101	EEF1A1	CbGpCC	0.27907279567094506
CHEMBL4097524	EEF1A1	CbGpCC	0.27907279567094506
CHEMBL4070348	EEF1A1	CbGpCC	0.27907279567094506
CHEMBL4094319	EEF1A1	CbGpCC	0.27907279567094506
CHEMBL4072881	EEF1A1	CbGpCC	0.27907279567094506
CHEMBL4067648	EEF1A1	CbGpCC	0.27907279567094506
CHEMBL4088864	EEF1A1	CbGpCC	0.27907279567094506
CHEMBL4105227	EEF1A1	CbGpCC	0.27907279567094506
CHEMBL514569	EEF1A1	CbGpCC	0.27907279567094506
CHEMBL4294164	EEF1A1	CbGpCC	0.27907279567094506
CHEMBL1232461	EEF1A1	CbGpCC	0.27907279567094506
CHEMBL5653589	EEF1A1	CbGpCC	0.09896965067522627
CHEMBL1221911	EEF1A2	CbGpCC	0.053067006949210384
CHEMBL123292	EEF1A2	CbGpCC	0.053067006949210384
CHEMBL2303630	EEF1A2	CbGpCC	0.053067006949210384
CHEMBL1802814	EEF1A2	CbGpCC	0.40281403018933953
CHEMBL1802815	EEF1A2	CbGpCC	0.40281403018933953
CHEMBL1802973	EEF1A2	CbGpCC	0.40281403018933953
CHEMBL3799977	EEF1A2	CbGpCC	0.053067006949210384
CHEMBL4066032	EEF1A2	CbGpCC	0.053067006949210384
CHEMBL4095101	EEF1A2	CbGpCC	0.053067006949210384
CHEMBL4097524	EEF1A2	CbGpCC	0.053067006949210384
CHEMBL4070348	EEF1A2	CbGpCC	0.053067006949210384
CHEMBL4094319	EEF1A2	CbGpCC	0.053067006949210384
CHEMBL4072881	EEF1A2	CbGpCC	0.053067006949210384
CHEMBL4067648	EEF1A2	CbGpCC	0.053067006949210384
CHEMBL4088864	EEF1A2	CbGpCC	0.053067006949210384
CHEMBL4105227	EEF1A2	CbGpCC	0.053067006949210384
CHEMBL514569	EEF1A2	CbGpCC	0.053067006949210384
CHEMBL4294164	EEF1A2	CbGpCC	0.053067006949210384
CHEMBL1232461	EEF1A2	CbGpCC	0.053067006949210384
CHEMBL5653589	EEF1A2	CbGpCC	0.4784492924559346
CHEMBL1221911	EEF1A1	CbGpPW	0.25606809711847395
CHEMBL123292	EEF1A1	CbGpPW	0.25606809711847395
CHEMBL2303630	EEF1A1	CbGpPW	0.25606809711847395
CHEMBL1802814	EEF1A1	CbGpPW	0.2492137435965214
CHEMBL1802815	EEF1A1	CbGpPW	0.2492137435965214
CHEMBL1802973	EEF1A1	CbGpPW	0.2492137435965214
CHEMBL3799977	EEF1A1	CbGpPW	0.25606809711847395
CHEMBL4066032	EEF1A1	CbGpPW	0.25606809711847395
CHEMBL4095101	EEF1A1	CbGpPW	0.25606809711847395
CHEMBL4097524	EEF1A1	CbGpPW	0.25606809711847395
CHEMBL4070348	EEF1A1	CbGpPW	0.25606809711847395
CHEMBL4094319	EEF1A1	CbGpPW	0.25606809711847395
CHEMBL4072881	EEF1A1	CbGpPW	0.25606809711847395
CHEMBL4067648	EEF1A1	CbGpPW	0.25606809711847395
CHEMBL4088864	EEF1A1	CbGpPW	0.25606809711847395
CHEMBL4105227	EEF1A1	CbGpPW	0.25606809711847395
CHEMBL514569	EEF1A1	CbGpPW	0.25606809711847395
CHEMBL4294164	EEF1A1	CbGpPW	0.25606809711847395
CHEMBL1232461	EEF1A1	CbGpPW	0.25606809711847395
CHEMBL5653589	EEF1A1	CbGpPW	0.0727714090304638
CHEMBL1221911	EEF1A2	CbGpPW	0.03901964736034091
CHEMBL123292	EEF1A2	CbGpPW	0.03901964736034091
CHEMBL2303630	EEF1A2	CbGpPW	0.03901964736034091
CHEMBL1802814	EEF1A2	CbGpPW	0.14968380635987433
CHEMBL1802815	EEF1A2	CbGpPW	0.14968380635987433
CHEMBL1802973	EEF1A2	CbGpPW	0.14968380635987433
CHEMBL3799977	EEF1A2	CbGpPW	0.03901964736034091
CHEMBL4066032	EEF1A2	CbGpPW	0.03901964736034091
CHEMBL4095101	EEF1A2	CbGpPW	0.03901964736034091
CHEMBL4097524	EEF1A2	CbGpPW	0.03901964736034091
CHEMBL4070348	EEF1A2	CbGpPW	0.03901964736034091
CHEMBL4094319	EEF1A2	CbGpPW	0.03901964736034091
CHEMBL4072881	EEF1A2	CbGpPW	0.03901964736034091
CHEMBL4067648	EEF1A2	CbGpPW	0.03901964736034091
CHEMBL4088864	EEF1A2	CbGpPW	0.03901964736034091
CHEMBL4105227	EEF1A2	CbGpPW	0.03901964736034091
CHEMBL514569	EEF1A2	CbGpPW	0.03901964736034091
CHEMBL4294164	EEF1A2	CbGpPW	0.03901964736034091
CHEMBL1232461	EEF1A2	CbGpPW	0.03901964736034091
CHEMBL5653589	EEF1A2	CbGpPW	0.15848931924611132
