compound_id	target_gene	metapath	dwpc
CHEMBL1802814	EEF1A1	CbG	0.4883593419305869
CHEMBL1802815	EEF1A1	CbG	0.4883593419305869
CHEMBL1802973	EEF1A1	CbG	0.4883593419305869
CHEMBL5653589	EEF1A2	CbG	0.24999999999999997
CHEMBL1802814	EEF1A2	CbG	0.435275281648062
CHEMBL1802815	EEF1A2	CbG	0.435275281648062
CHEMBL1802973	EEF1A2	CbG	0.435275281648062
CHEMBL3301622	EEF1A1	CbGiG	0.10381091163462643
CHEMBL2103840	EEF1A1	CbGiG	0.0451863237999041
CHEMBL5653589	EEF1A1	CbGiG	0.3257822957983419
CHEMBL3752910	EEF1A1	CbGiG	0.41733062895708917
CHEMBL1232461	EEF1A1	CbGiG	0.16233360352007378
CHEMBL1802814	EEF1A1	CbGiG	0.05716313149091577
CHEMBL1802815	EEF1A1	CbGiG	0.05716313149091577
CHEMBL1802973	EEF1A1	CbGiG	0.05716313149091577
CHEMBL555689	EEF1A1	CbGiG	0.0451863237999041
CHEMBL559594	EEF1A1	CbGiG	0.0451863237999041
CHEMBL564799	EEF1A1	CbGiG	0.0451863237999041
CHEMBL561125	EEF1A1	CbGiG	0.0451863237999041
CHEMBL562794	EEF1A1	CbGiG	0.0451863237999041
CHEMBL560663	EEF1A1	CbGiG	0.0451863237999041
CHEMBL550249	EEF1A1	CbGiG	0.0451863237999041
CHEMBL558033	EEF1A1	CbGiG	0.0451863237999041
CHEMBL564316	EEF1A1	CbGiG	0.0451863237999041
CHEMBL559039	EEF1A1	CbGiG	0.0451863237999041
CHEMBL550251	EEF1A1	CbGiG	0.0451863237999041
CHEMBL565134	EEF1A1	CbGiG	0.0451863237999041
CHEMBL301982	EEF1A1	CbGiG	0.0451863237999041
CHEMBL3609826	EEF1A1	CbGiG	0.0451863237999041
CHEMBL3937369	EEF1A1	CbGiG	0.0451863237999041
CHEMBL3975567	EEF1A1	CbGiG	0.0451863237999041
CHEMBL3946252	EEF1A1	CbGiG	0.0451863237999041
CHEMBL3947240	EEF1A1	CbGiG	0.0451863237999041
CHEMBL3919459	EEF1A1	CbGiG	0.0451863237999041
CHEMBL3955977	EEF1A1	CbGiG	0.0451863237999041
CHEMBL3928361	EEF1A1	CbGiG	0.0451863237999041
CHEMBL3900925	EEF1A1	CbGiG	0.0451863237999041
CHEMBL3972065	EEF1A1	CbGiG	0.0451863237999041
CHEMBL3953713	EEF1A1	CbGiG	0.0451863237999041
CHEMBL3901185	EEF1A1	CbGiG	0.0451863237999041
CHEMBL3944589	EEF1A1	CbGiG	0.0451863237999041
CHEMBL3916672	EEF1A1	CbGiG	0.0451863237999041
CHEMBL3964729	EEF1A1	CbGiG	0.0451863237999041
CHEMBL3911352	EEF1A1	CbGiG	0.0451863237999041
CHEMBL3936187	EEF1A1	CbGiG	0.0451863237999041
CHEMBL3891011	EEF1A1	CbGiG	0.0451863237999041
CHEMBL3922414	EEF1A1	CbGiG	0.0451863237999041
CHEMBL3983798	EEF1A1	CbGiG	0.0451863237999041
CHEMBL3919811	EEF1A1	CbGiG	0.0451863237999041
CHEMBL3923966	EEF1A1	CbGiG	0.0451863237999041
CHEMBL3905315	EEF1A1	CbGiG	0.0451863237999041
CHEMBL3967087	EEF1A1	CbGiG	0.0451863237999041
CHEMBL4070633	EEF1A1	CbGiG	0.0451863237999041
CHEMBL4087666	EEF1A1	CbGiG	0.0451863237999041
CHEMBL4077078	EEF1A1	CbGiG	0.0451863237999041
CHEMBL4099031	EEF1A1	CbGiG	0.0451863237999041
