compound_id	target_gene	metapath	dwpc
CHEMBL4294164	EEF1A1	CbG	0.16177468314756732
CHEMBL1232461	EEF1A1	CbG	0.1503966142496433
CHEMBL1221911	EEF1A1	CbG	0.3079630127583798
CHEMBL123292	EEF1A1	CbG	0.23339232015516465
CHEMBL2303630	EEF1A1	CbG	0.3079630127583798
CHEMBL1802814	EEF1A1	CbG	0.23339232015516465
CHEMBL1802815	EEF1A1	CbG	0.23339232015516465
CHEMBL1802973	EEF1A1	CbG	0.23339232015516465
CHEMBL3799977	EEF1A1	CbG	0.3079630127583798
CHEMBL4066032	EEF1A1	CbG	0.3079630127583798
CHEMBL4095101	EEF1A1	CbG	0.3079630127583798
CHEMBL4097524	EEF1A1	CbG	0.3079630127583798
CHEMBL4070348	EEF1A1	CbG	0.3079630127583798
CHEMBL4094319	EEF1A1	CbG	0.3079630127583798
CHEMBL4072881	EEF1A1	CbG	0.3079630127583798
CHEMBL4067648	EEF1A1	CbG	0.3079630127583798
CHEMBL4088864	EEF1A1	CbG	0.3079630127583798
CHEMBL4105227	EEF1A1	CbG	0.3079630127583798
CHEMBL514569	EEF1A1	CbG	0.3079630127583798
CHEMBL5653589	EEF1A2	CbG	0.20587265366665194
CHEMBL1802814	EEF1A2	CbG	0.435275281648062
CHEMBL1802815	EEF1A2	CbG	0.435275281648062
CHEMBL1802973	EEF1A2	CbG	0.435275281648062
CHEMBL2110732	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3353410	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3545085	EEF1A1	CbGiG	0.017783315170586896
CHEMBL571546	EEF1A1	CbGiG	0.017783315170586896
CHEMBL494089	EEF1A1	CbGiG	0.017783315170586896
CHEMBL572878	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1614713	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3301622	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1614725	EEF1A1	CbGiG	0.017783315170586896
CHEMBL288441	EEF1A1	CbGiG	0.017783315170586896
CHEMBL482767	EEF1A1	CbGiG	0.017783315170586896
CHEMBL536151	EEF1A1	CbGiG	0.017783315170586896
CHEMBL413	EEF1A1	CbGiG	0.017783315170586896
CHEMBL270995	EEF1A1	CbGiG	0.017783315170586896
CHEMBL482967	EEF1A1	CbGiG	0.017783315170586896
CHEMBL592445	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1233528	EEF1A1	CbGiG	0.017783315170586896
CHEMBL601719	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3334567	EEF1A1	CbGiG	0.017783315170586896
CHEMBL507361	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3348923	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3545328	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1614707	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1236682	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3402762	EEF1A1	CbGiG	0.017783315170586896
CHEMBL2408045	EEF1A1	CbGiG	0.017783315170586896
CHEMBL300138	EEF1A1	CbGiG	0.017783315170586896
CHEMBL576982	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3600873	EEF1A1	CbGiG	0.017783315170586896
CHEMBL296468	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3688339	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3182621	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3989868	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1173655	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1289601	EEF1A1	CbGiG	0.017783315170586896
CHEMBL587723	EEF1A1	CbGiG	0.017783315170586896
CHEMBL255863	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3137336	EEF1A1	CbGiG	0.017783315170586896
CHEMBL607707	EEF1A1	CbGiG	0.017783315170586896
CHEMBL491473	EEF1A1	CbGiG	0.017783315170586896
CHEMBL598797	EEF1A1	CbGiG	0.017783315170586896
CHEMBL522892	EEF1A1	CbGiG	0.017783315170586896
CHEMBL403989	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1908397	EEF1A1	CbGiG	0.017783315170586896
CHEMBL259084	EEF1A1	CbGiG	0.017783315170586896
CHEMBL2386889	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1230609	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1873475	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3218576	EEF1A1	CbGiG	0.017783315170586896
CHEMBL2103875	EEF1A1	CbGiG	0.017783315170586896
CHEMBL2028663	EEF1A1	CbGiG	0.03393563938772962
CHEMBL3186534	EEF1A1	CbGiG	0.017783315170586896
CHEMBL2165191	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3301607	EEF1A1	CbGiG	0.017783315170586896
CHEMBL4289017	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1983268	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3545083	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1801204	EEF1A1	CbGiG	0.017783315170586896
CHEMBL2079588	EEF1A1	CbGiG	0.017783315170586896
CHEMBL575448	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1078178	EEF1A1	CbGiG	0.017783315170586896
CHEMBL180022	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1201182	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1230165	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3128043	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1229517	EEF1A1	CbGiG	0.03393563938772962
CHEMBL495727	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3545215	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1922094	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3991932	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3544960	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1946170	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3544932	EEF1A1	CbGiG	0.017783315170586896
CHEMBL5416410	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1090479	EEF1A1	CbGiG	0.017783315170586896
CHEMBL2103839	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3039513	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3545154	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3218575	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3545360	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1721885	EEF1A1	CbGiG	0.017783315170586896
CHEMBL2105717	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1088752	EEF1A1	CbGiG	0.017783315170586896
CHEMBL477772	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3184679	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3991934	EEF1A1	CbGiG	0.017783315170586896
CHEMBL571948	EEF1A1	CbGiG	0.017783315170586896
CHEMBL428690	EEF1A1	CbGiG	0.017783315170586896
CHEMBL2105759	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1738757	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1614710	EEF1A1	CbGiG	0.017783315170586896
CHEMBL2029988	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3991933	EEF1A1	CbGiG	0.017783315170586896
CHEMBL551064	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1908391	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1615025	EEF1A1	CbGiG	0.017783315170586896
CHEMBL941	EEF1A1	CbGiG	0.017783315170586896
CHEMBL2105728	EEF1A1	CbGiG	0.017783315170586896
CHEMBL2220486	EEF1A1	CbGiG	0.017783315170586896
CHEMBL445813	EEF1A1	CbGiG	0.017783315170586896
CHEMBL939	EEF1A1	CbGiG	0.017783315170586896
CHEMBL283120	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3545157	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3590106	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3218578	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3301610	EEF1A1	CbGiG	0.017783315170586896
CHEMBL253969	EEF1A1	CbGiG	0.017783315170586896
CHEMBL415049	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1738797	EEF1A1	CbGiG	0.017783315170586896
CHEMBL4084193	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3408248	EEF1A1	CbGiG	0.017783315170586896
CHEMBL608533	EEF1A1	CbGiG	0.017783315170586896
CHEMBL31965	EEF1A1	CbGiG	0.017783315170586896
CHEMBL2107832	EEF1A1	CbGiG	0.017783315170586896
CHEMBL14762	EEF1A1	CbGiG	0.017783315170586896
CHEMBL2048872	EEF1A1	CbGiG	0.017783315170586896
CHEMBL2325741	EEF1A1	CbGiG	0.017783315170586896
CHEMBL2376648	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1084546	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3545076	EEF1A1	CbGiG	0.017783315170586896
CHEMBL2103830	EEF1A1	CbGiG	0.017783315170586896
CHEMBL2336325	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1091644	EEF1A1	CbGiG	0.017783315170586896
CHEMBL2035187	EEF1A1	CbGiG	0.017783315170586896
CHEMBL475251	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3188267	EEF1A1	CbGiG	0.017783315170586896
CHEMBL553	EEF1A1	CbGiG	0.017783315170586896
CHEMBL603469	EEF1A1	CbGiG	0.017783315170586896
CHEMBL572881	EEF1A1	CbGiG	0.017783315170586896
CHEMBL2103842	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3989914	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1236962	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1241855	EEF1A1	CbGiG	0.017783315170586896
CHEMBL2103851	EEF1A1	CbGiG	0.017783315170586896
CHEMBL372764	EEF1A1	CbGiG	0.017783315170586896
CHEMBL462018	EEF1A1	CbGiG	0.017783315170586896
CHEMBL377300	EEF1A1	CbGiG	0.017783315170586896
CHEMBL483158	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1094408	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1289926	EEF1A1	CbGiG	0.017783315170586896
CHEMBL215152	EEF1A1	CbGiG	0.017783315170586896
CHEMBL281948	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3264002	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1908394	EEF1A1	CbGiG	0.017783315170586896
CHEMBL24828	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1944698	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3544966	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3991929	EEF1A1	CbGiG	0.017783315170586896
CHEMBL482968	EEF1A1	CbGiG	0.017783315170586896
CHEMBL2138625	EEF1A1	CbGiG	0.017783315170586896
CHEMBL564829	EEF1A1	CbGiG	0.017783315170586896
CHEMBL405130	EEF1A1	CbGiG	0.017783315170586896
CHEMBL2396661	EEF1A1	CbGiG	0.017783315170586896
CHEMBL223360	EEF1A1	CbGiG	0.017783315170586896
CHEMBL488436	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1645462	EEF1A1	CbGiG	0.017783315170586896
CHEMBL460702	EEF1A1	CbGiG	0.017783315170586896
CHEMBL496102	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3545110	EEF1A1	CbGiG	0.017783315170586896
CHEMBL2030402	EEF1A1	CbGiG	0.017783315170586896
CHEMBL558752	EEF1A1	CbGiG	0.03393563938772962
CHEMBL3544964	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1079175	EEF1A1	CbGiG	0.017783315170586896
CHEMBL2041933	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1879463	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3991931	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1088751	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3301612	EEF1A1	CbGiG	0.017783315170586896
CHEMBL502835	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3039517	EEF1A1	CbGiG	0.017783315170586896
CHEMBL2180604	EEF1A1	CbGiG	0.017783315170586896
CHEMBL124660	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1236107	EEF1A1	CbGiG	0.017783315170586896
CHEMBL400402	EEF1A1	CbGiG	0.017783315170586896
CHEMBL2017974	EEF1A1	CbGiG	0.017783315170586896
CHEMBL483321	EEF1A1	CbGiG	0.017783315170586896
CHEMBL2216870	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1336	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3907479	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1976040	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3544983	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3699142	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3137331	EEF1A1	CbGiG	0.017783315170586896
CHEMBL574737	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1614766	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1952329	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1908360	EEF1A1	CbGiG	0.017783315170586896
CHEMBL101253	EEF1A1	CbGiG	0.017783315170586896
CHEMBL2219422	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3120215	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3991935	EEF1A1	CbGiG	0.017783315170586896
CHEMBL2103882	EEF1A1	CbGiG	0.017783315170586896
CHEMBL206834	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3426621	EEF1A1	CbGiG	0.017783315170586896
CHEMBL2403108	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1234354	EEF1A1	CbGiG	0.017783315170586896
CHEMBL217092	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1090090	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3039525	EEF1A1	CbGiG	0.017783315170586896
CHEMBL189963	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1233300	EEF1A1	CbGiG	0.017783315170586896
CHEMBL402548	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3813873	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3545366	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3545307	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1171837	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3991927	EEF1A1	CbGiG	0.017783315170586896
CHEMBL2087361	EEF1A1	CbGiG	0.017783315170586896
CHEMBL274654	EEF1A1	CbGiG	0.017783315170586896
CHEMBL565612	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3109738	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1950289	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1231124	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3188551	EEF1A1	CbGiG	0.017783315170586896
CHEMBL3545396	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1667969	EEF1A1	CbGiG	0.017783315170586896
CHEMBL38380	EEF1A1	CbGiG	0.017783315170586896
CHEMBL514201	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1287853	EEF1A1	CbGiG	0.017783315170586896
CHEMBL1289494	EEF1A1	CbGiG	0.017783315170586896
