pi	alpha	beta	mean	n_nonzero	fit_method	metapath	target_gene	n_compound_slots
0.95	118.61845366026414	400.4827210296663	0.2961886928736616	3800	method_of_moments	CbG	EEF1A1	20
0.2	60.84723587137814	129.4501525551085	0.4700437556106759	800	method_of_moments	CbG	EEF1A2	20
0.194	58.42988388747587	924.463211437455	0.06320412014732613	776	method_of_moments	CbGiG	EEF1A1	20
0.9215	109.84507788497837	2758.068343781837	0.03982681507245025	3686	method_of_moments	CbGiG	EEF1A2	20
0.96825	21.050030322986675	69.91263711485156	0.30109049224399825	3873	method_of_moments	CbGpBP	EEF1A1	20
0.492	0.7904382663344365	4.098800013934566	0.19284626321050247	1968	method_of_moments	CbGpBP	EEF1A2	20
1.0	22.011286967521098	88.33504825849475	0.24917954313116455	4000	method_of_moments	CbGpCC	EEF1A1	20
1.0	0.7301701662695357	12.023497084142091	0.06072860176699874	4000	method_of_moments	CbGpCC	EEF1A2	20
0.986	20.146108980819204	71.48478006916646	0.2818237527110869	3944	method_of_moments	CbGpMF	EEF1A1	20
0.776	0.5011877805217704	4.037652919782646	0.12412849506360003	3104	method_of_moments	CbGpMF	EEF1A2	20
0.9645	11.079164133603326	88.82088021216686	0.12473603174319457	3858	method_of_moments	CbGpPW	EEF1A1	20
0.432	1.0525791309010857	14.12725263100438	0.07450699427509652	1728	method_of_moments	CbGpPW	EEF1A2	20
