node_id	metanode_type	external_id	name
0	Gene	ncbi:1915	EEF1A1
1	Gene	ncbi:1933	EEF1B2
2	Gene	ncbi:1937	EEF1G
3	Gene	ncbi:1936	EEF1D
4	Gene	ncbi:6142	RPL18A
5	Gene	ncbi:6124	RPL4
6	Gene	ncbi:1917	EEF1A2
7	Gene	ncbi:6129	RPL7
8	Gene	ncbi:6187	RPS2
9	Gene	ncbi:6122	RPL3
10	Gene	ncbi:6188	RPS3
11	Gene	ncbi:6189	RPS3A
12	Gene	ncbi:5901	RAN
13	Gene	ncbi:2107	ETF1
14	Gene	ncbi:3297	HSF1
15	Gene	ncbi:9060	PAPSS2
16	Gene	ncbi:9061	PAPSS1
17	Gene	ncbi:55808	ST6GALNAC1
18	Compound	CHEMBL1221911	LACTIMIDOMYCIN
19	Compound	CHEMBL123292	CYCLOHEXIMIDE
20	Compound	CHEMBL2303630	SPARSOMYCIN
21	Compound	CHEMBL1802814	CHEMBL1802814
22	Compound	CHEMBL1802815	CHEMBL1802815
23	Compound	CHEMBL1802973	CHEMBL1802973
24	Compound	CHEMBL3799977	CHEMBL3799977
25	Compound	CHEMBL4066032	CHEMBL4066032
26	Compound	CHEMBL4095101	CHEMBL4095101
27	Compound	CHEMBL4097524	CHEMBL4097524
28	Compound	CHEMBL4070348	CHEMBL4070348
29	Compound	CHEMBL4094319	CHEMBL4094319
30	Compound	CHEMBL4072881	CHEMBL4072881
31	Compound	CHEMBL4067648	CHEMBL4067648
32	Compound	CHEMBL4088864	CHEMBL4088864
33	Compound	CHEMBL4105227	CHEMBL4105227
34	Compound	CHEMBL514569	GAMENDAZOLE
35	Compound	CHEMBL4294164	CHEMBL4294164
36	Compound	CHEMBL1232461	MOLIBRESIB
37	Compound	CHEMBL5653589	CHEMBL5653589
38	BiologicalProcess	GO:0071364	cellular response to epidermal growth factor stimulus
39	BiologicalProcess	GO:0006351	DNA-templated transcription
40	BiologicalProcess	GO:0044829	host-mediated activation of viral genome replication
41	BiologicalProcess	GO:1904714	regulation of chaperone-mediated autophagy
42	BiologicalProcess	GO:0006412	translation
43	BiologicalProcess	GO:0006414	translational elongation
