node_id	metanode_type	external_id	name
0	Gene	ncbi:1915	EEF1A1
1	Gene	ncbi:1933	EEF1B2
2	Gene	ncbi:1937	EEF1G
3	Gene	ncbi:1936	EEF1D
4	Gene	ncbi:6142	RPL18A
5	Gene	ncbi:6124	RPL4
6	Gene	ncbi:1917	EEF1A2
7	Gene	ncbi:6129	RPL7
8	Gene	ncbi:6187	RPS2
9	Gene	ncbi:6122	RPL3
10	Gene	ncbi:6188	RPS3
11	Gene	ncbi:6189	RPS3A
12	Gene	ncbi:5901	RAN
13	Gene	ncbi:2107	ETF1
14	Gene	ncbi:3297	HSF1
15	Gene	ncbi:9060	PAPSS2
16	Gene	ncbi:9061	PAPSS1
17	Gene	ncbi:55808	ST6GALNAC1
18	Compound	CHEMBL3301622	GILTERITINIB
19	Compound	CHEMBL2103840	DINACICLIB
20	Compound	CHEMBL5653589	CHEMBL5653589
21	Compound	CHEMBL3752910	CHEMBL3752910
22	Compound	CHEMBL1232461	MOLIBRESIB
23	Compound	CHEMBL1802814	CHEMBL1802814
24	Compound	CHEMBL1802815	CHEMBL1802815
25	Compound	CHEMBL1802973	CHEMBL1802973
26	Compound	CHEMBL555689	CHEMBL555689
27	Compound	CHEMBL559594	CHEMBL559594
28	Compound	CHEMBL564799	CHEMBL564799
29	Compound	CHEMBL561125	CHEMBL561125
30	Compound	CHEMBL562794	CHEMBL562794
31	Compound	CHEMBL560663	CHEMBL560663
32	Compound	CHEMBL550249	CHEMBL550249
33	Compound	CHEMBL558033	CHEMBL558033
34	Compound	CHEMBL564316	CHEMBL564316
35	Compound	CHEMBL559039	CHEMBL559039
36	Compound	CHEMBL550251	CHEMBL550251
37	Compound	CHEMBL565134	CHEMBL565134
38	Compound	CHEMBL301982	CELASTROL
39	Compound	CHEMBL1240927	CHEMBL1240927
40	Compound	CHEMBL3609826	CHEMBL3609826
41	Compound	CHEMBL3937369	CHEMBL3937369
42	Compound	CHEMBL3975567	CHEMBL3975567
43	Compound	CHEMBL3946252	CHEMBL3946252
44	Compound	CHEMBL3947240	CHEMBL3947240
45	Compound	CHEMBL3919459	CHEMBL3919459
46	Compound	CHEMBL3955977	CHEMBL3955977
