compound_id	metapath	target_gene	dwpc	p_cell	pi	alpha	beta	mean	n_nonzero	fit_method	n_compound_slots	p_gamma_pooled
CHEMBL1802814	CbG	EEF1A1	0.4883593419305869	1.0	1.0	1.9348355722068944e+31	3.9619096146662887e+31	0.488359341930587	30000	method_of_moments	3	0.8470477193075677
CHEMBL1802814	CbG	EEF1A2	0.435275281648062	1.0	1.0	60.92186702426163	129.60892746062032	0.4700437556106758	40000	method_of_moments	4	0.7085774819221747
CHEMBL1802814	CbGiG	EEF1A1	0.0571631314909157	0.973002699730027	0.973	58.23572075698916	922.0336128002948	0.0631600843489016	38920	method_of_moments	4	0.7390292516961798
CHEMBL1802814	CbGiG	EEF1A2	0.0641344695060506	0.973002699730027	0.973	1342.4758349595338	20457.97122407708	0.0656211615636436	29190	method_of_moments	3	0.7744858146373022
CHEMBL1802814	CbGpBP	EEF1A1	0.1269440883465	0.0004999500049995	0.3509	3.9054745378519833	104.83608335515704	0.0372531519002027	14036	method_of_moments	4	0.00025230220179289987
CHEMBL1802814	CbGpBP	EEF1A2	0.1424255731043326	0.0004999500049995	0.3509	4.241397768485312	109.5833992544656	0.0387047472276004	10527	method_of_moments	3	6.532016607850367e-05
CHEMBL1802814	CbGpCC	EEF1A1	0.0750049695550939	0.0201979802019798	1.0	7.1331436768358865	160.1260925032458	0.0445470414304358	40000	method_of_moments	4	0.05019858019642944
CHEMBL1802814	CbGpCC	EEF1A2	0.0841522115263729	0.0201979802019798	1.0	8.21164153937618	177.42299447856328	0.0462828483055973	30000	method_of_moments	3	0.022075749968596577
CHEMBL1802814	CbGpMF	EEF1A1	0.1267811675187863	0.000999900009999	0.7551	2.334253678012211	63.50879689320872	0.0367548086596145	30204	method_of_moments	4	0.0038266066698227617
CHEMBL1802814	CbGpMF	EEF1A2	0.142242783243379	0.000999900009999	0.7551	2.4670699267946965	64.60499256834979	0.0381869856913089	22653	method_of_moments	3	0.001793670963875666
CHEMBL1802814	CbGpPW	EEF1A1	0.0551504151178892	0.007499250074992501	0.2406	22.760724138030938	511.5564016115288	0.044493088281818	9624	method_of_moments	4	0.031038944911712676
CHEMBL1802814	CbGpPW	EEF1A2	0.0618762920150096	0.0086991300869913	0.2406	36.932947376524325	798.951108478268	0.0462267928345066	7218	method_of_moments	3	0.006661395396746713
CHEMBL1802814	CsG	EEF1A2	0.0	1.0	1.0	9.296161025336584e+30	2.746250452286351e+31	0.3385037594658273	150000	method_of_moments	15	
CHEMBL1802814	CsGiG	EEF1A1	0.0	1.0	0.973	1342.5126289801635	29515.522087039757	0.0454849697396902	145950	method_of_moments	15	
CHEMBL1802814	CsGpPW	EEF1A1	0.0	1.0	0.2406	36.937041370968174	1152.774459200818	0.0320418630688395	36090	method_of_moments	15	
CHEMBL1802815	CbG	EEF1A1	0.4883593419305869	1.0	1.0	1.9348355722068944e+31	3.9619096146662887e+31	0.488359341930587	30000	method_of_moments	3	0.8470477193075677
CHEMBL1802815	CbG	EEF1A2	0.435275281648062	1.0	1.0	60.92186702426163	129.60892746062032	0.4700437556106758	40000	method_of_moments	4	0.7085774819221747
CHEMBL1802815	CbGiG	EEF1A1	0.0571631314909157	0.973002699730027	0.973	58.23572075698916	922.0336128002948	0.0631600843489016	38920	method_of_moments	4	0.7390292516961798
CHEMBL1802815	CbGiG	EEF1A2	0.0641344695060506	0.973002699730027	0.973	1342.4758349595338	20457.97122407708	0.0656211615636436	29190	method_of_moments	3	0.7744858146373022
CHEMBL1802815	CbGpBP	EEF1A1	0.1269440883465	0.0004999500049995	0.3509	3.9054745378519833	104.83608335515704	0.0372531519002027	14036	method_of_moments	4	0.00025230220179289987
CHEMBL1802815	CbGpBP	EEF1A2	0.1424255731043326	0.0004999500049995	0.3509	4.241397768485312	109.5833992544656	0.0387047472276004	10527	method_of_moments	3	6.532016607850367e-05
CHEMBL1802815	CbGpCC	EEF1A1	0.0750049695550939	0.0201979802019798	1.0	7.1331436768358865	160.1260925032458	0.0445470414304358	40000	method_of_moments	4	0.05019858019642944
