compound_id	target_chembl_id	protein_id	standard_type	standard_relation	standard_value	standard_units
CHEMBL1221911	CHEMBL1795120	EEF1A1	Inhibition			%
CHEMBL123292	CHEMBL1795120	EEF1A1	Inhibition			%
CHEMBL2303630	CHEMBL1795120	EEF1A1	Activity			
CHEMBL1802814	CHEMBL1795120	EEF1A1	Activity			
CHEMBL1802815	CHEMBL1795120	EEF1A1	Activity			
CHEMBL1802973	CHEMBL1795120	EEF1A1	Kd	=	57.2	nM
CHEMBL3799977	CHEMBL1795120	EEF1A1	FC	=	12.0	
CHEMBL4066032	CHEMBL1795120	EEF1A1	Activity			
CHEMBL4095101	CHEMBL1795120	EEF1A1	Activity			
CHEMBL4097524	CHEMBL1795120	EEF1A1	Ka	=	2.536	10'6/M
CHEMBL4070348	CHEMBL1795120	EEF1A1	Ka	=	1.029	10'7/M
CHEMBL4094319	CHEMBL1795120	EEF1A1	Ka	=	2.899	10'6/M
CHEMBL4072881	CHEMBL1795120	EEF1A1	Ka	=	6.796	10'6/M
CHEMBL4067648	CHEMBL1795120	EEF1A1	Ka	=	5.297	10'6/M
CHEMBL4088864	CHEMBL1795120	EEF1A1	Ka	=	1.809	10'7/M
CHEMBL4105227	CHEMBL1795120	EEF1A1	Ka			
CHEMBL514569	CHEMBL1795120	EEF1A1	Ka	=	1.268	10'7/M
CHEMBL4294164	CHEMBL1795120	EEF1A1	Ratio	=	0.629	
CHEMBL1232461	CHEMBL1795120	EEF1A1	FC	=	0.825	
CHEMBL1802814	CHEMBL1795122	EEF1A2	Kd	=	4.89	nM
CHEMBL1802815	CHEMBL1795122	EEF1A2	Kd	=	2.43	nM
CHEMBL1802973	CHEMBL1795122	EEF1A2	Kd	=	4.54	nM
CHEMBL5653589	CHEMBL1795122	EEF1A2	Kd	=	412.41	nM
