compound_id	protein_id	target_chembl_id	pchembl_max	n_records	evidence_types
CHEMBL1232461	EEF1D	CHEMBL4295739	5.25	1	IC50
CHEMBL1232461	EEF1G	CHEMBL4295735	5.37	1	IC50
CHEMBL1232461	RPS3A	CHEMBL6067564	5.46	1	IC50
CHEMBL1802814	EEF1A1	CHEMBL1795120	8.43	1	Kd
CHEMBL1802814	EEF1A2	CHEMBL1795122	8.31	1	Kd
CHEMBL1802815	EEF1A1	CHEMBL1795120	8.09	1	Kd
CHEMBL1802815	EEF1A2	CHEMBL1795122	8.61	1	Kd
CHEMBL1802973	EEF1A1	CHEMBL1795120	7.24	1	Kd
CHEMBL1802973	EEF1A2	CHEMBL1795122	8.34	1	Kd
CHEMBL2103840	HSF1	CHEMBL5869	8.15	1	IC50
CHEMBL301982	HSF1	CHEMBL5869	5.96	2	EC50
CHEMBL3301622	RAN	CHEMBL1741190	6.12	1	Kd
CHEMBL3609826	HSF1	CHEMBL5869	5.92	1	IC50
CHEMBL3752910	EEF1D	CHEMBL4295739	5.76	1	Kd
CHEMBL3752910	EEF1G	CHEMBL4295735	7.94	1	Kd
CHEMBL3752910	RAN	CHEMBL1741190	5.37	1	Kd
CHEMBL3752910	RPL18A	CHEMBL6067541	7.01	1	Kd
CHEMBL3752910	RPL3	CHEMBL6066907	5.58	1	Kd
CHEMBL3752910	RPL4	CHEMBL6066910	5.33	1	Kd
CHEMBL3752910	RPL7	CHEMBL6066948	7.78	1	Kd
CHEMBL3752910	RPS2	CHEMBL6066954	7.09	1	Kd
CHEMBL3752910	RPS3	CHEMBL6066939	8.41	1	Kd
CHEMBL3752910	RPS3A	CHEMBL6067564	5.61	1	Kd
CHEMBL3891011	HSF1	CHEMBL5869	5.63	1	IC50
CHEMBL3900925	HSF1	CHEMBL5869	6.53	1	IC50
CHEMBL3901185	HSF1	CHEMBL5869	6.7	1	IC50
CHEMBL3905315	HSF1	CHEMBL5869	5.7	1	IC50
CHEMBL3911352	HSF1	CHEMBL5869	7.55	1	IC50
CHEMBL3916672	HSF1	CHEMBL5869	5.37	1	IC50
CHEMBL3919459	HSF1	CHEMBL5869	6.35	1	IC50
CHEMBL3919811	HSF1	CHEMBL5869	7.1	1	IC50
CHEMBL3922414	HSF1	CHEMBL5869	5.21	1	IC50
CHEMBL3923966	HSF1	CHEMBL5869	5.87	1	IC50
CHEMBL3928361	HSF1	CHEMBL5869	7.24	1	IC50
CHEMBL3936187	HSF1	CHEMBL5869	6.12	1	IC50
CHEMBL3937369	HSF1	CHEMBL5869	7.82	2	IC50
CHEMBL3944589	HSF1	CHEMBL5869	6.08	1	IC50
CHEMBL3946252	HSF1	CHEMBL5869	6.21	1	IC50
CHEMBL3947240	HSF1	CHEMBL5869	5.86	1	IC50
CHEMBL3953713	HSF1	CHEMBL5869	7.26	1	IC50
CHEMBL3955977	HSF1	CHEMBL5869	6.05	1	IC50
CHEMBL3964729	HSF1	CHEMBL5869	7.41	1	IC50
CHEMBL3967087	HSF1	CHEMBL5869	6.12	1	IC50
CHEMBL3972065	HSF1	CHEMBL5869	7.35	1	IC50
CHEMBL3975567	HSF1	CHEMBL5869	7.85	1	IC50
CHEMBL3983798	HSF1	CHEMBL5869	6.78	1	IC50
CHEMBL4063330	HSF1	CHEMBL5869	7.92	2	IC50
CHEMBL4069552	HSF1	CHEMBL5869	7.29	2	IC50
CHEMBL4070302	HSF1	CHEMBL5869	6.94	2	IC50
CHEMBL4070633	HSF1	CHEMBL5869	8.55	4	IC50
CHEMBL4077078	HSF1	CHEMBL5869	6.35	2	IC50
CHEMBL4087666	HSF1	CHEMBL5869	7.73	4	IC50
CHEMBL4096048	HSF1	CHEMBL5869	6.66	2	IC50
CHEMBL4099031	HSF1	CHEMBL5869	5.59	2	IC50
CHEMBL4102297	HSF1	CHEMBL5869	7.58	2	IC50
CHEMBL4282794	HSF1	CHEMBL5869	5.35	1	EC50
CHEMBL550249	HSF1	CHEMBL5869	5.68	1	EC50
CHEMBL550251	HSF1	CHEMBL5869	5.89	1	EC50
CHEMBL555689	HSF1	CHEMBL5869	5.29	1	EC50
CHEMBL558033	HSF1	CHEMBL5869	5.6	1	EC50
CHEMBL559039	HSF1	CHEMBL5869	5.6	1	EC50
CHEMBL559594	HSF1	CHEMBL5869	5.07	1	EC50
CHEMBL560663	HSF1	CHEMBL5869	5.11	1	EC50
CHEMBL561125	HSF1	CHEMBL5869	5.0	1	EC50
CHEMBL562794	HSF1	CHEMBL5869	5.0	1	EC50
CHEMBL564316	HSF1	CHEMBL5869	5.6	1	EC50
CHEMBL564799	HSF1	CHEMBL5869	5.0	1	EC50
CHEMBL565134	HSF1	CHEMBL5869	5.39	1	EC50
CHEMBL5653589	EEF1A2	CHEMBL1795122	6.38	1	Kd
CHEMBL5653589	EEF1B2	CHEMBL4295731	6.18	1	Kd
CHEMBL5653589	EEF1D	CHEMBL4295739	7.27	1	Kd
CHEMBL5653589	EEF1G	CHEMBL4295735	9.31	1	Kd
CHEMBL5653589	RAN	CHEMBL1741190	6.94	1	Kd
CHEMBL5653589	RPL18A	CHEMBL6067541	5.5	1	Kd
CHEMBL5653589	RPS2	CHEMBL6066954	5.74	1	Kd
CHEMBL5653589	RPS3	CHEMBL6066939	7.39	1	Kd
