compound_id	target_chembl_id	protein_id	standard_type	standard_relation	standard_value	standard_units	pchembl_value	assay_type	assay_chembl_id	target_organism	data_validity_comment	activity_comment
CHEMBL1221911	CHEMBL1795120	EEF1A1	Inhibition			%		B	CHEMBL1228364	Homo sapiens		
CHEMBL123292	CHEMBL1795120	EEF1A1	Inhibition			%		B	CHEMBL1228364	Homo sapiens		
CHEMBL1221911	CHEMBL1795120	EEF1A1	Activity					B	CHEMBL1228365	Homo sapiens		
CHEMBL2303630	CHEMBL1795120	EEF1A1	Activity					B	CHEMBL1228365	Homo sapiens		
CHEMBL1802814	CHEMBL1795120	EEF1A1	Activity					B	CHEMBL1805138	Homo sapiens		
CHEMBL1802815	CHEMBL1795120	EEF1A1	Activity					B	CHEMBL1805138	Homo sapiens		
CHEMBL1802814	CHEMBL1795120	EEF1A1	Kd	=	3.74	nM	8.43	B	CHEMBL1805291	Homo sapiens		
CHEMBL1802815	CHEMBL1795120	EEF1A1	Kd	=	8.15	nM	8.09	B	CHEMBL1805291	Homo sapiens		
CHEMBL1802973	CHEMBL1795120	EEF1A1	Kd	=	57.2	nM	7.24	B	CHEMBL1805291	Homo sapiens		
CHEMBL3799977	CHEMBL1795120	EEF1A1	FC	=	12.0			B	CHEMBL3803738	Homo sapiens		
CHEMBL4066032	CHEMBL1795120	EEF1A1	Activity					B	CHEMBL4024027	Homo sapiens		
CHEMBL4066032	CHEMBL1795120	EEF1A1	Activity					B	CHEMBL4024030	Homo sapiens		
CHEMBL4095101	CHEMBL1795120	EEF1A1	Activity					B	CHEMBL4024030	Homo sapiens		
CHEMBL4097524	CHEMBL1795120	EEF1A1	Ka	=	2.536	10'6/M		B	CHEMBL4024033	Homo sapiens		
CHEMBL4070348	CHEMBL1795120	EEF1A1	Ka	=	1.029	10'7/M		B	CHEMBL4024033	Homo sapiens		
CHEMBL4094319	CHEMBL1795120	EEF1A1	Ka	=	2.899	10'6/M		B	CHEMBL4024033	Homo sapiens		
CHEMBL4072881	CHEMBL1795120	EEF1A1	Ka	=	6.796	10'6/M		B	CHEMBL4024033	Homo sapiens		
CHEMBL4067648	CHEMBL1795120	EEF1A1	Ka	=	5.297	10'6/M		B	CHEMBL4024033	Homo sapiens		
CHEMBL4088864	CHEMBL1795120	EEF1A1	Ka	=	1.809	10'7/M		B	CHEMBL4024033	Homo sapiens		
CHEMBL4105227	CHEMBL1795120	EEF1A1	Ka					B	CHEMBL4024033	Homo sapiens		Not Active
CHEMBL514569	CHEMBL1795120	EEF1A1	Ka	=	1.268	10'7/M		B	CHEMBL4024033	Homo sapiens		
CHEMBL4294164	CHEMBL1795120	EEF1A1	Ratio	=	0.629			B	CHEMBL4270827	Homo sapiens		
CHEMBL1232461	CHEMBL1795120	EEF1A1	FC	=	0.825			B	CHEMBL5697473	Homo sapiens		
CHEMBL1232461	CHEMBL1795120	EEF1A1	FC	=	1.0			B	CHEMBL5698173	Homo sapiens		
CHEMBL1232461	CHEMBL1795120	EEF1A1	FC	=	0.995			B	CHEMBL5698873	Homo sapiens		
CHEMBL1232461	CHEMBL1795120	EEF1A1	FC	=	0.951			B	CHEMBL5699573	Homo sapiens		
CHEMBL1232461	CHEMBL1795120	EEF1A1	FC	=	0.872			B	CHEMBL5700273	Homo sapiens		
CHEMBL1232461	CHEMBL1795120	EEF1A1	IC50	>=	10000.0	nM		B	CHEMBL5700973	Homo sapiens		
CHEMBL1802814	CHEMBL1795122	EEF1A2	Kd	=	4.89	nM	8.31	B	CHEMBL1805281	Homo sapiens		
CHEMBL1802815	CHEMBL1795122	EEF1A2	Kd	=	2.43	nM	8.61	B	CHEMBL1805281	Homo sapiens		
CHEMBL1802973	CHEMBL1795122	EEF1A2	Kd	=	4.54	nM	8.34	B	CHEMBL1805281	Homo sapiens		
CHEMBL1802973	CHEMBL1795122	EEF1A2	Inhibition			%		B	CHEMBL1805284	Homo sapiens		Dose-dependent effect
CHEMBL1802973	CHEMBL1795122	EEF1A2	Inhibition			%		B	CHEMBL1805285	Homo sapiens		Dose-dependent effect
CHEMBL1802973	CHEMBL1795122	EEF1A2	Inhibition			%		B	CHEMBL1805286	Homo sapiens		Dose-dependent effect
CHEMBL1802973	CHEMBL1795122	EEF1A2	Inhibition			%		B	CHEMBL1805287	Homo sapiens		Dose-dependent effect
CHEMBL1802973	CHEMBL1795122	EEF1A2	Inhibition			%		B	CHEMBL1805288	Homo sapiens		
CHEMBL1802973	CHEMBL1795122	EEF1A2	Inhibition			%		B	CHEMBL1805289	Homo sapiens		
CHEMBL5653589	CHEMBL1795122	EEF1A2	Kd	=	412.41	nM	6.38	B	CHEMBL5650978	Homo sapiens		
CHEMBL5653589	CHEMBL1795122	EEF1A2	ED50	=	412.41	nM	6.38	B	CHEMBL5650978	Homo sapiens		
