compound_id	target_chembl_id	protein_id	standard_type	standard_relation	standard_value	standard_units	pchembl_value	assay_type	assay_chembl_id	target_organism	data_validity_comment	activity_comment
CHEMBL2110732	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3353410	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3545085	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL571546	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL494089	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL572878	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1614713	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3301622	CHEMBL1741190	RAN	Kd	=	759.0	nM	6.12	B	CHEMBL3991866	Homo sapiens		Uncertain
CHEMBL1614725	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL288441	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL482767	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL536151	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL413	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL270995	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL482967	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL592445	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1233528	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL601719	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3334567	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL507361	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3348923	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3545328	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1614707	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
