stitch_chemical	protein_id	string_protein	experimental	database	textmining_discarded	prediction_discarded	channel_score	compound_id	mapped_to_chembl
CIDm00015103	EEF1A2	9606.ENSP00000217182	517	0	0	0	517	CHEMBL113178	True
CIDm00014888	EEF1A2	9606.ENSP00000217182	0	700	0	0	700	PUBCHEM:14888	False
CIDm00001822	EEF1A2	9606.ENSP00000217182	577	0	197	0	577	CHEMBL1233085	True
CIDm00001117	EEF1A2	9606.ENSP00000217182	577	0	186	0	577	CHEMBL1200456	True
CIDm00001016	EEF1A2	9606.ENSP00000217182	741	0	0	0	741	CHEMBL1742182	True
CIDm00000888	EEF1A2	9606.ENSP00000217182	741	0	239	0	741	CHEMBL2146125	True
CIDm00000762	EEF1A2	9606.ENSP00000217182	577	0	110	0	577	CHEMBL1201369	True
CIDm00000761	EEF1A2	9606.ENSP00000217182	704	0	0	0	704	CHEMBL1242996	True
CIDm00000730	EEF1A2	9606.ENSP00000217182	741	0	189	0	741	CHEMBL384759	True
CIDm00000106	EEF1A2	9606.ENSP00000217182	741	0	165	0	741	CHEMBL1418244	True
CIDs20042692	EEF1A2	9606.ENSP00000217182	577	0	0	0	577	PUBCHEM:20042692	False
CIDs03246323	EEF1A2	9606.ENSP00000217182	741	0	0	0	741	PUBCHEM:3246323	False
CIDs00105024	EEF1A2	9606.ENSP00000217182	517	0	0	0	517	CHEMBL113178	True
CIDs00068841	EEF1A2	9606.ENSP00000217182	741	0	165	0	741	CHEMBL284377	True
CIDs00036735	EEF1A2	9606.ENSP00000217182	577	0	197	0	577	CHEMBL1233085	True
CIDs00014888	EEF1A2	9606.ENSP00000217182	0	700	0	0	700	PUBCHEM:14888	False
CIDs00008977	EEF1A2	9606.ENSP00000217182	741	0	189	0	741	CHEMBL384759	True
CIDs00006830	EEF1A2	9606.ENSP00000217182	577	0	110	0	577	PUBCHEM:6830	False
CIDs00006804	EEF1A2	9606.ENSP00000217182	704	0	0	0	704	CHEMBL1627076	True
CIDs00000888	EEF1A2	9606.ENSP00000217182	741	0	239	0	741	CHEMBL2146125	True
