stitch_chemical	protein_id	string_protein	experimental	database	textmining_discarded	prediction_discarded	channel_score	compound_id	mapped_to_chembl
CIDm70789301	RPL4	9606.ENSP00000311430	644	0	0	0	644	CHEMBL2338710	True
CIDm70789301	RPL7	9606.ENSP00000339795	644	0	0	0	644	CHEMBL2338710	True
CIDm70789301	RPL3	9606.ENSP00000346001	618	0	0	0	618	CHEMBL2338710	True
CIDm70789299	RPL4	9606.ENSP00000311430	644	0	0	0	644	CHEMBL2338711	True
CIDm70789299	RPL7	9606.ENSP00000339795	644	0	0	0	644	CHEMBL2338711	True
CIDm70789299	RPL3	9606.ENSP00000346001	618	0	0	0	618	CHEMBL2338711	True
CIDm54581309	RPL7	9606.ENSP00000339795	653	0	0	0	653	CHEMBL1765705	True
CIDm53654133	RPS2	9606.ENSP00000341885	644	0	0	0	644	PUBCHEM:53654133	False
CIDm52941584	RPL4	9606.ENSP00000311430	644	0	0	0	644	PUBCHEM:52941584	False
CIDm52941584	RPL7	9606.ENSP00000339795	644	0	0	0	644	PUBCHEM:52941584	False
CIDm52941584	RPL3	9606.ENSP00000346001	618	0	0	0	618	PUBCHEM:52941584	False
CIDm49867784	RPS2	9606.ENSP00000341885	644	0	0	0	644	PUBCHEM:49867784	False
CIDm49867759	RPL4	9606.ENSP00000311430	644	0	0	0	644	PUBCHEM:49867759	False
CIDm49867759	RPL7	9606.ENSP00000339795	644	0	0	0	644	PUBCHEM:49867759	False
CIDm49867759	RPL3	9606.ENSP00000346001	618	0	0	0	618	PUBCHEM:49867759	False
CIDm49867309	RPL4	9606.ENSP00000311430	644	0	0	0	644	PUBCHEM:49867309	False
CIDm49867309	RPL7	9606.ENSP00000339795	644	0	0	0	644	PUBCHEM:49867309	False
CIDm49867309	RPL3	9606.ENSP00000346001	618	0	0	0	618	PUBCHEM:49867309	False
CIDm49867308	RPL4	9606.ENSP00000311430	644	0	0	0	644	PUBCHEM:49867308	False
CIDm49867308	RPL7	9606.ENSP00000339795	644	0	0	0	644	PUBCHEM:49867308	False
CIDm49867308	RPL3	9606.ENSP00000346001	618	0	0	0	618	PUBCHEM:49867308	False
CIDm49867307	RPL4	9606.ENSP00000311430	644	0	0	0	644	PUBCHEM:49867307	False
CIDm49867307	RPL7	9606.ENSP00000339795	644	0	0	0	644	PUBCHEM:49867307	False
CIDm49867307	RPL3	9606.ENSP00000346001	618	0	0	0	618	PUBCHEM:49867307	False
CIDm49866839	EEF1G	9606.ENSP00000331901	477	0	0	0	477	PUBCHEM:49866839	False
CIDm49866685	RPL4	9606.ENSP00000311430	644	0	0	0	644	PUBCHEM:49866685	False
CIDm49866685	RPL7	9606.ENSP00000339795	644	0	0	0	644	PUBCHEM:49866685	False
CIDm49866685	RPL3	9606.ENSP00000346001	618	0	0	0	618	PUBCHEM:49866685	False
CIDm44602426	RPL4	9606.ENSP00000311430	644	0	0	0	644	CHEMBL215940	True
CIDm44602426	RPL7	9606.ENSP00000339795	644	0	0	0	644	CHEMBL215940	True
CIDm44602426	RPS2	9606.ENSP00000341885	644	0	0	0	644	CHEMBL215940	True
CIDm44602426	RPL3	9606.ENSP00000346001	618	0	0	0	618	CHEMBL215940	True
