compound_id	canonical_smiles	inchikey	pref_name	max_phase	alogp	mw
CHEMBL2110732	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1	LVXJQMNHJWSHET-AATRIKPKSA-N	DACOMITINIB ANHYDROUS	4.0	5.16	469.95
CHEMBL3353410	C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	DUYJMQONPNNFPI-UHFFFAOYSA-N	OSIMERTINIB	4.0	4.51	499.62
CHEMBL3545085	CC(C)c1cc(CNc2nc(Nc3cc(C4CC4)[nH]n3)cc(N3CCN(C)CC3)n2)on1	ALKJNCZNEOTEMP-UHFFFAOYSA-N	XL-228	1.0	3.30	437.55
CHEMBL571546	O=C(Cc1ccc(-c2ccc(OCCN3CCOCC3)cc2)cn1)NCc1ccccc1	HUNGUWOZPQBXGX-UHFFFAOYSA-N	TIRBANIBULIN	4.0	3.32	431.54
CHEMBL494089	CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@H]3CCCNC3)c21	KGPGFQWBCSZGEL-ZDUSSCGKSA-N	GSK-690693	1.0	1.58	425.49
CHEMBL572878	Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1	GCIKSSRWRFVXBI-UHFFFAOYSA-N	TOZASERTIB	2.0	3.50	464.60
CHEMBL1614713	c1cc(OCCN2CCCCC2)cc(-c2n[nH]c3ccc(-c4nnc[nH]4)cc23)c1	XDJCLCLBSGGNKS-UHFFFAOYSA-N	CC-401	2.0	3.88	388.48
CHEMBL3301622	CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1	GYQYAJJFPNQOOW-UHFFFAOYSA-N	GILTERITINIB	4.0	2.70	552.72
CHEMBL1614725	CC(C)(O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21	ZYQXEVJIFYIBHZ-UHFFFAOYSA-N	TAK-285	1.0	5.92	547.97
CHEMBL288441	COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl	UBPYILGKFZZVDX-UHFFFAOYSA-N	BOSUTINIB	4.0	5.19	530.46
CHEMBL482767	O=C(Nc1cccc(Cl)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1	FAYAUAZLLLJJGH-UHFFFAOYSA-N	SNS-314	1.0	5.10	430.95
CHEMBL536151	O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(Cl)ccc1O	CHILCFMQWMQVAL-UHFFFAOYSA-N	IMD-0354	1.0	5.34	383.68
