stitch_chemical	stitch_name	molecular_weight	stitch_smiles	compound_id	pubchem_cid
CIDs00000888	magnesium	24.305	[Mg+2]	CHEMBL2146125	888
CIDs00001117	sulphate	96.0626	[O-]S(=O)(=O)[O-]	CHEMBL1200456	1117
CIDs00006804	guanylate	363.220622	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)NC(=NC2=O)N	CHEMBL1627076	6804
CIDs00006830	guanosine triphosphate	523.180426	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)NC(=NC2=O)N	PUBCHEM:6830	6830
CIDs00008977	guanosine diphosphate	443.200524	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)NC(=NC2=O)N	CHEMBL384759	8977
CIDs00014888	arsenic trioxide	197.8414	[O-2].[O-2].[O-2].[As+3].[As+3]	PUBCHEM:14888	14888
CIDs00036735	Gpp(NH)p	522.195666	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(NP(=O)(O)O)O)O)O)NC(=NC2=O)N	CHEMBL1233085	36735
CIDs00068841	phospho-serine	185.072482	C(C(C(=O)O)N)OP(=O)(O)O	CHEMBL284377	68841
CIDs00105024	SeMet	196.10634	C[Se]CCC(C(=O)O)N	CHEMBL113178	105024
CIDs03246323	O-phosphothreonine	199.099062	CC(C(C(=O)O)N)OP(=O)(O)O	PUBCHEM:3246323	3246323
CIDs20042692	hydron;sulfate	97.07054	[H-].[O-]S(=O)(=O)[O-]	PUBCHEM:20042692	20042692
CIDm00000106	pSer	185.072482	C(C(C(=O)O)N)OP(=O)(O)O	CHEMBL1418244	106
CIDm00000730	guanosine diphosphate	443.200524	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)NC(=NC2=O)N	CHEMBL384759	730
CIDm00000761	guanylate	363.220622	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)NC(=NC2=O)N	CHEMBL1242996	761
CIDm00000762	guanosine triphosphate	523.180426	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)NC(=NC2=O)N	CHEMBL1201369	762
CIDm00000888	magnesium	24.305	[Mg+2]	CHEMBL2146125	888
CIDm00001016	O-phosphothreonine	199.099062	CC(C(C(=O)O)N)OP(=O)(O)O	CHEMBL1742182	1016
CIDm00001117	sulphate	96.0626	[O-]S(=O)(=O)[O-]	CHEMBL1200456	1117
CIDm00001822	Gpp(NH)p	522.195666	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(NP(=O)(O)O)O)O)O)NC(=NC2=O)N	CHEMBL1233085	1822
CIDm00014888	arsenic trioxide	197.8414	[O-2].[O-2].[O-2].[As+3].[As+3]	PUBCHEM:14888	14888
CIDm00015103	selenomethionine	196.10634	C[Se]CCC(C(=O)O)N	CHEMBL113178	15103
