stitch_chemical	stitch_name	molecular_weight	stitch_smiles	compound_id	pubchem_cid
CIDs00000177	acetaldehyde	44.05256	CC=O	CHEMBL170365	177
CIDs00000242	benzoic acid	121.1134	C1=CC=C(C=C1)C(=O)[O-]	CHEMBL1356	242
CIDs00000271	calcium ions	40.078	[Ca+2]	CHEMBL2146121	271
CIDs00000311	citric acid	192.12352	C(C(=O)O)C(CC(=O)O)(C(=O)O)O	CHEMBL1261	311
CIDs00000312	chloride	35.453	[Cl-]	CHEMBL1200547	312
CIDs00000338	salicylate	138.12074	C1=CC=C(C(=C1)C(=O)O)O	CHEMBL2105994	338
CIDs00000544	arsenite	122.9198	[O-][As]([O-])[O-]	CHEMBL1231071	544
CIDs00000546	phosphonoacetic acid (PAA	140.031862	C(C(=O)O)P(=O)(O)O	CHEMBL136061	546
CIDs00000564	EACA	131.17292	C(CCC(=O)O)CCN	CHEMBL1046	564
CIDs00000753	glycerol	92.09382	C(C(CO)O)O	CHEMBL692	753
CIDs00000783	hydrogen	2.01588	[HH]	PUBCHEM:783	783
CIDs00000867	malonate	104.06146	C(C(=O)O)C(=O)O	CHEMBL359504	867
CIDs00000888	magnesium	24.305	[Mg+2]	CHEMBL2146125	888
CIDs00000923	sodium	22.989769	[Na+]	PUBCHEM:923	923
CIDs00000936	vitamin B	122.12464	C1=CC(=CN=C1)C(=O)N	CHEMBL1140	936
CIDs00000961	distilled water	17.00734	[OH-]	CHEMBL1098659	961
CIDs00001003	phosphate	96.987242	OP(=O)(O)[O-]	CHEMBL1187	1003
CIDs00001023	pyrophosphate	177.975084	OP(=O)(O)OP(=O)(O)O	CHEMBL1160571	1023
CIDs00001089	selenate	144.97348	O[Se](=O)(=O)O	CHEMBL2097002	1089
CIDs00001117	sulphate	96.0626	[O-]S(=O)(=O)[O-]	CHEMBL1200456	1117
CIDs00001567	2-mercaptoethanol	78.13344	C(CS)O	CHEMBL254951	1567
CIDs00002244	aspirin	180.15742	CC(=O)OC1=CC=CC=C1C(=O)O	CHEMBL25	2244
CIDs00002514	cadmium	232.51492	CC(=O)O.CC(=O)O.[Cd]	PUBCHEM:2514	2514
CIDs00003017	diazinon	304.345502	CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C	CHEMBL388560	3017
CIDs00003672	ibuprofen	206.28082	CC(C)CC1=CC=C(C=C1)C(C)C(=O)O	CHEMBL1241153	3672
CIDs00003715	indomethacin	357.78764	CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O	CHEMBL1200864	3715
CIDs00005892	diphosphopyridine nucleotide	663.425104	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C4N=CN=C5N)O)O)O)O)C(=O)N	CHEMBL1234613	5892
CIDs00005957	MgATP	507.181026	C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O	CHEMBL14249	5957
