gene_a_symbol	gene_b_symbol	gene_a_id	gene_b_id	score
EEF1A1	EEF1B2	1915	1933	0.999
RPL7	RPS3	6129	6188	0.999
EEF1A1	EEF1G	1915	1937	0.999
EEF1B2	EEF1G	1933	1937	0.999
EEF1D	EEF1G	1936	1937	0.999
RPL7	RPS2	6129	6187	0.999
RPL3	RPS2	6122	6187	0.999
RPS2	RPS3A	6187	6189	0.999
RPL4	RPS2	6124	6187	0.999
RPL4	RPL7	6124	6129	0.999
RPL4	RPS3A	6124	6189	0.999
RPL3	RPL4	6122	6124	0.999
RPL7	RPS3A	6129	6189	0.999
RPL3	RPS3	6122	6188	0.999
RPS3	RPS3A	6188	6189	0.999
RPL3	RPS3A	6122	6189	0.999
RPL4	RPS3	6124	6188	0.999
RPL18A	RPL7	6142	6129	0.999
EEF1B2	EEF1D	1933	1936	0.999
RPL18A	RPS3A	6142	6189	0.999
RPL18A	RPS3	6142	6188	0.999
RPS2	RPS3	6187	6188	0.999
RPL18A	RPL4	6142	6124	0.999
RPL18A	RPS2	6142	6187	0.999
RPL18A	RPL3	6142	6122	0.999
RPL3	RPL7	6122	6129	0.999
EEF1A1	RPS2	1915	6187	0.998
EEF1A1	RPL4	1915	6124	0.997
EEF1A1	RPS3	1915	6188	0.997
EEF1A1	RPS3A	1915	6189	0.997
EEF1A1	EEF1D	1915	1936	0.997
EEF1A2	EEF1B2	1917	1933	0.996
EEF1G	RPS3	1937	6188	0.996
EEF1A1	RPL18A	1915	6142	0.996
EEF1A1	RPL3	1915	6122	0.995
EEF1A1	RPL7	1915	6129	0.995
EEF1G	RPS3A	1937	6189	0.994
EEF1A1	EEF1A2	1915	1917	0.994
EEF1B2	RPS3	1933	6188	0.993
EEF1B2	RPS3A	1933	6189	0.988
EEF1G	RPS2	1937	6187	0.986
EEF1G	RPL18A	1937	6142	0.985
EEF1B2	RPS2	1933	6187	0.984
EEF1G	RPL4	1937	6124	0.983
EEF1B2	RPL4	1933	6124	0.983
EEF1A2	EEF1G	1917	1937	0.979
EEF1A1	RAN	1915	5901	0.973
EEF1G	RPL3	1937	6122	0.968
EEF1B2	RPL18A	1933	6142	0.961
EEF1A2	EEF1D	1917	1936	0.96
EEF1A1	ETF1	1915	2107	0.959
EEF1A1	HSF1	1915	3297	0.955
PAPSS1	PAPSS2	9061	9060	0.951
EEF1G	RPL7	1937	6129	0.95
EEF1A2	ST6GALNAC1	1917	55808	0.944
EEF1A2	RAN	1917	5901	0.942
EEF1B2	RPL7	1933	6129	0.932
EEF1D	RPS3	1936	6188	0.931
EEF1A2	ETF1	1917	2107	0.931
EEF1D	RPL18A	1936	6142	0.928
EEF1D	RPS3A	1936	6189	0.928
EEF1A1	PAPSS1	1915	9061	0.921
EEF1A2	PAPSS1	1917	9061	0.919
EEF1A2	PAPSS2	1917	9060	0.915
EEF1A1	PAPSS2	1915	9060	0.914
EEF1A2	HSF1	1917	3297	0.912
EEF1B2	RPL3	1933	6122	0.906
EEF1D	RPL3	1936	6122	0.843
EEF1D	RPS2	1936	6187	0.831
EEF1D	RPL4	1936	6124	0.811
EEF1B2	RAN	1933	5901	0.759
EEF1D	RPL7	1936	6129	0.718
EEF1B2	ETF1	1933	2107	0.702
EEF1G	ETF1	1937	2107	0.663
EEF1G	RAN	1937	5901	0.58
ETF1	RAN	2107	5901	0.451
EEF1D	RAN	1936	5901	0.413
EEF1D	HSF1	1936	3297	0.402
