protein_id	go_id	go_term	aspect
EEF1A1	GO:0030864	cortical actin cytoskeleton	CellularComponent
EEF1A1	GO:0005737	cytoplasm	CellularComponent
EEF1A1	GO:0098574	cytoplasmic side of lysosomal membrane	CellularComponent
EEF1A1	GO:0005829	cytosol	CellularComponent
EEF1A1	GO:0022626	cytosolic ribosome	CellularComponent
EEF1A1	GO:0005853	eukaryotic translation elongation factor 1 complex	CellularComponent
EEF1A1	GO:0070062	extracellular exosome	CellularComponent
EEF1A1	GO:0005576	extracellular region	CellularComponent
EEF1A1	GO:0005615	extracellular space	CellularComponent
EEF1A1	GO:1904813	ficolin-1-rich granule lumen	CellularComponent
EEF1A1	GO:0016020	membrane	CellularComponent
EEF1A1	GO:0005730	nucleolus	CellularComponent
EEF1A1	GO:0005634	nucleus	CellularComponent
EEF1A1	GO:0005886	plasma membrane	CellularComponent
EEF1A1	GO:0005840	ribosome	CellularComponent
EEF1A1	GO:0032587	ruffle membrane	CellularComponent
EEF1A1	GO:0034774	secretory granule lumen	CellularComponent
EEF1A1	GO:0005525	GTP binding	MolecularFunction
EEF1A1	GO:0003924	GTPase activity	MolecularFunction
EEF1A1	GO:0019209	kinase activator activity	MolecularFunction
EEF1A1	GO:0019900	kinase binding	MolecularFunction
EEF1A1	GO:0060090	molecular adaptor activity	MolecularFunction
EEF1A1	GO:0019901	protein kinase binding	MolecularFunction
EEF1A1	GO:0003723	RNA binding	MolecularFunction
EEF1A1	GO:0003746	translation elongation factor activity	MolecularFunction
EEF1A1	GO:0000049	tRNA binding	MolecularFunction
EEF1A1	GO:0071364	cellular response to epidermal growth factor stimulus	BiologicalProcess
EEF1A1	GO:0006351	DNA-templated transcription	BiologicalProcess
EEF1A1	GO:0044829	host-mediated activation of viral genome replication	BiologicalProcess
EEF1A1	GO:1904714	regulation of chaperone-mediated autophagy	BiologicalProcess
EEF1A1	GO:0006412	translation	BiologicalProcess
EEF1A1	GO:0006414	translational elongation	BiologicalProcess
EEF1B2	GO:0005737	cytoplasm	CellularComponent
EEF1B2	GO:0005829	cytosol	CellularComponent
