protein_id	uniprot_accession	pathway_id	pathway_name
EEF1A1	P68104	R-HSA-156842	Eukaryotic Translation Elongation
EEF1A1	P68104	R-HSA-156902	Peptide chain elongation
EEF1A1	P68104	R-HSA-3371511	HSF1 activation
EEF1A1	P68104	R-HSA-6798695	Neutrophil degranulation
EEF1A1	P68104	R-HSA-8876725	Protein methylation
EEF1A1	P68104	R-HSA-9613829	Chaperone Mediated Autophagy
EEF1A1	P68104	R-HSA-9735869	SARS-CoV-1 modulates host translation machinery
EEF1B2	P24534	R-HSA-156842	Eukaryotic Translation Elongation
EEF1G	P26641	R-HSA-156842	Eukaryotic Translation Elongation
EEF1G	P26641	R-HSA-9725370	Signaling by ALK fusions and activated point mutants
EEF1D	P29692	R-HSA-156842	Eukaryotic Translation Elongation
RPL18A	Q02543	R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression
RPL18A	Q02543	R-HSA-156902	Peptide chain elongation
RPL18A	Q02543	R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane
RPL18A	Q02543	R-HSA-192823	Viral mRNA Translation
RPL18A	Q02543	R-HSA-2408557	Selenocysteine synthesis
RPL18A	Q02543	R-HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol
RPL18A	Q02543	R-HSA-72689	Formation of a pool of free 40S subunits
RPL18A	Q02543	R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit
RPL18A	Q02543	R-HSA-72764	Eukaryotic Translation Termination
RPL18A	Q02543	R-HSA-9010553	Regulation of expression of SLITs and ROBOs
RPL18A	Q02543	R-HSA-9633012	Response of EIF2AK4 (GCN2) to amino acid deficiency
RPL18A	Q02543	R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)
RPL18A	Q02543	R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)
RPL18A	Q02543	R-HSA-9954709	Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide
RPL18A	Q02543	R-HSA-9954714	PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA
RPL18A	Q02543	R-HSA-9954716	ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA
RPL4	P36578	R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression
RPL4	P36578	R-HSA-156902	Peptide chain elongation
RPL4	P36578	R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane
RPL4	P36578	R-HSA-192823	Viral mRNA Translation
RPL4	P36578	R-HSA-2408557	Selenocysteine synthesis
RPL4	P36578	R-HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol
RPL4	P36578	R-HSA-72689	Formation of a pool of free 40S subunits
RPL4	P36578	R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit
RPL4	P36578	R-HSA-72764	Eukaryotic Translation Termination
RPL4	P36578	R-HSA-9010553	Regulation of expression of SLITs and ROBOs
RPL4	P36578	R-HSA-9633012	Response of EIF2AK4 (GCN2) to amino acid deficiency
RPL4	P36578	R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)
RPL4	P36578	R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)
RPL4	P36578	R-HSA-9954709	Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide
RPL4	P36578	R-HSA-9954714	PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA
RPL4	P36578	R-HSA-9954716	ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA
EEF1A2	Q05639	R-HSA-156842	Eukaryotic Translation Elongation
RPL7	P18124	R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression
RPL7	P18124	R-HSA-156902	Peptide chain elongation
RPL7	P18124	R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane
RPL7	P18124	R-HSA-192823	Viral mRNA Translation
RPL7	P18124	R-HSA-2408557	Selenocysteine synthesis
RPL7	P18124	R-HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol
RPL7	P18124	R-HSA-72689	Formation of a pool of free 40S subunits
RPL7	P18124	R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit
RPL7	P18124	R-HSA-72764	Eukaryotic Translation Termination
RPL7	P18124	R-HSA-9010553	Regulation of expression of SLITs and ROBOs
RPL7	P18124	R-HSA-9633012	Response of EIF2AK4 (GCN2) to amino acid deficiency
RPL7	P18124	R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)
RPL7	P18124	R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)
RPL7	P18124	R-HSA-9954709	Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide
RPL7	P18124	R-HSA-9954714	PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA
RPL7	P18124	R-HSA-9954716	ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA
RPS2	P15880	R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression
RPS2	P15880	R-HSA-156902	Peptide chain elongation
RPS2	P15880	R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane
RPS2	P15880	R-HSA-192823	Viral mRNA Translation
RPS2	P15880	R-HSA-2408557	Selenocysteine synthesis
RPS2	P15880	R-HSA-3214858	RMTs methylate histone arginines
RPS2	P15880	R-HSA-6790901	rRNA modification in the nucleus and cytosol
RPS2	P15880	R-HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol
RPS2	P15880	R-HSA-72649	Translation initiation complex formation
RPS2	P15880	R-HSA-72689	Formation of a pool of free 40S subunits
RPS2	P15880	R-HSA-72695	Formation of the ternary complex, and subsequently, the 43S complex
RPS2	P15880	R-HSA-72702	Ribosomal scanning and start codon recognition
RPS2	P15880	R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit
RPS2	P15880	R-HSA-72764	Eukaryotic Translation Termination
RPS2	P15880	R-HSA-8876725	Protein methylation
RPS2	P15880	R-HSA-9010553	Regulation of expression of SLITs and ROBOs
RPS2	P15880	R-HSA-9633012	Response of EIF2AK4 (GCN2) to amino acid deficiency
RPS2	P15880	R-HSA-9684482	IFIT antiviral response
RPS2	P15880	R-HSA-9735869	SARS-CoV-1 modulates host translation machinery
RPS2	P15880	R-HSA-9754678	SARS-CoV-2 modulates host translation machinery
RPS2	P15880	R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)
RPS2	P15880	R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)
RPS2	P15880	R-HSA-9954714	PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA
RPS2	P15880	R-HSA-9954716	ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA
RPL3	P39023	R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression
RPL3	P39023	R-HSA-156902	Peptide chain elongation
RPL3	P39023	R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane
RPL3	P39023	R-HSA-192823	Viral mRNA Translation
RPL3	P39023	R-HSA-2408557	Selenocysteine synthesis
RPL3	P39023	R-HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol
RPL3	P39023	R-HSA-72689	Formation of a pool of free 40S subunits
RPL3	P39023	R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit
RPL3	P39023	R-HSA-72764	Eukaryotic Translation Termination
RPL3	P39023	R-HSA-9010553	Regulation of expression of SLITs and ROBOs
RPL3	P39023	R-HSA-9633012	Response of EIF2AK4 (GCN2) to amino acid deficiency
RPL3	P39023	R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)
RPL3	P39023	R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)
RPL3	P39023	R-HSA-9954709	Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide
RPL3	P39023	R-HSA-9954714	PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA
