parent,pubchem_cid,title,canonical_smiles,tanimoto,mw,n_vendors,example_vendors,is_exact_or_stereoisomer,source
CHEMBL1802814,53362901,"N-[(2S)-1-amino-4-methyl-1-oxopentan-2-yl]-4-[3-[(1R)-1-cyclohexylethyl]-2-(4-methoxyanilino)-8-oxopyrano[3,2-f]benzimidazol-6-yl]benzamide",C[C@H](C1CCCCC1)N2C3=C(C=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)C(=O)N[C@@H](CC(C)C)C(=O)N)N=C2NC6=CC=C(C=C6)OC,1.0,649.7920000000001,0,,True,PubChem 2D similarity
CHEMBL1802814,,CHEMBL1802816,COc1ccc(Nc2nc3cc4c(=O)cc(-c5ccc(C(=O)N[C@@H](Cc6ccccc6)C(N)=O)cc5)oc4cc3n2[C@H](C)C2CCCCC2)cc1,0.8539325594902039,,,,False,ChEMBL similarity (vendor status not resolved)
CHEMBL1802814,53362304,"4-[3-[(1R)-1-cyclohexylethyl]-2-(4-methoxyanilino)-8-oxopyrano[3,2-f]benzimidazol-6-yl]benzamide",C[C@H](C1CCCCC1)N2C3=C(C=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)C(=O)N)N=C2NC6=CC=C(C=C6)OC,0.798,536.6320000000002,0,,False,PubChem 2D similarity
CHEMBL1802814,,CHEMBL1802821,COc1ccc(Nc2nc3cc4c(=O)cc(-c5ccc(C(N)=O)cc5)oc4cc3n2[C@H](C)C2CCCCC2)cc1,0.7976190447807312,,,,False,ChEMBL similarity (vendor status not resolved)
CHEMBL1802814,,CHEMBL1802817,COc1ccc(Nc2nc3cc4c(=O)cc(-c5ccc(C(=O)N[C@@H](CC(C)C)C(N)=O)cc5)oc4cc3n2Cc2ccccc2)cc1,0.7204301357269287,,,,False,ChEMBL similarity (vendor status not resolved)
CHEMBL1802814,53362303,"N-[(2S)-1-amino-1-oxo-3-phenylpropan-2-yl]-4-[3-[(1R)-1-cyclohexylethyl]-8-oxo-2-propan-2-ylpyrano[3,2-f]benzimidazol-6-yl]benzamide",C[C@H](C1CCCCC1)N2C3=C(C=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)C(=O)N[C@@H](CC6=CC=CC=C6)C(=O)N)N=C2C(C)C,0.649,604.751,0,,False,PubChem 2D similarity
CHEMBL1802814,53362302,"N-[(2S)-1-amino-4-methyl-1-oxopentan-2-yl]-4-(3-benzyl-8-oxo-2-propan-2-ylpyrano[3,2-f]benzimidazol-6-yl)benzamide",CC(C)C[C@@H](C(=O)N)NC(=O)C1=CC=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3O2)N(C(=N4)C(C)C)CC5=CC=CC=C5,0.562,550.6590000000003,0,,False,PubChem 2D similarity
CHEMBL1802814,56662893,"N-[(2S)-1-amino-1-oxo-3-phenylpropan-2-yl]-4-[3-benzyl-2-(2-methylpropylamino)-8-oxopyrano[3,2-f]benzimidazol-6-yl]benzamide",CC(C)CNC1=NC2=C(N1CC3=CC=CC=C3)C=C4C(=C2)C(=O)C=C(O4)C5=CC=C(C=C5)C(=O)N[C@@H](CC6=CC=CC=C6)C(=O)N,0.515,613.7180000000002,0,,False,PubChem 2D similarity
CHEMBL1802814,44432930,"N,N-diisopentyl-2-(4-methoxyphenylamino)-3-(3-(piperidin-1-yl)propyl)-3H-benzo[d]imidazole-5-carboxamide",CC(C)CCN(CCC(C)C)C(=O)C1=CC2=C(C=C1)N=C(N2CCCN3CCCCC3)NC4=CC=C(C=C4)OC,0.352,547.7880000000005,0,,False,PubChem 2D similarity
CHEMBL1802814,25026047,1-[(2S)-1-amino-5-(diaminomethylideneamino)-1-oxopentan-2-yl]-N-(4-methoxyphenyl)-2-(3-phenoxyphenyl)benzimidazole-5-carboxamide,COC1=CC=C(C=C1)NC(=O)C2=CC3=C(C=C2)N(C(=N3)C4=CC(=CC=C4)OC5=CC=CC=C5)[C@@H](CCCN=C(N)N)C(=O)N,0.33,591.672,0,,False,PubChem 2D similarity
CHEMBL1802814,46225126,1-cyclohexyl-2-(furan-3-yl)-N-[1-oxo-1-[4-(2-oxopropoxy)anilino]propan-2-yl]benzimidazole-5-carboxamide,CC(C(=O)NC1=CC=C(C=C1)OCC(=O)C)NC(=O)C2=CC3=C(C=C2)N(C(=N3)C4=COC=C4)C5CCCCC5,0.319,528.6090000000002,0,,False,PubChem 2D similarity
CHEMBL1802814,44432949,"N,N-diisopentyl-2-(4-phenoxyphenylamino)-3-(3-(piperidin-1-yl)propyl)-3H-benzo[d]imidazole-5-carboxamide",CC(C)CCN(CCC(C)C)C(=O)C1=CC2=C(C=C1)N=C(N2CCCN3CCCCC3)NC4=CC=C(C=C4)OC5=CC=CC=C5,0.296,609.8590000000005,0,,False,PubChem 2D similarity
CHEMBL1802814,118311076,"Methyl 6-methoxy-2-(4-propan-2-yloxyanilino)-1-(3,3,5,5-tetramethylcyclohexyl)benzimidazole-5-carboxylate",CC(C)OC1=CC=C(C=C1)NC2=NC3=C(N2C4CC(CC(C4)(C)C)(C)C)C=C(C(=C3)C(=O)OC)OC,0.294,493.64800000000037,0,,False,PubChem 2D similarity
CHEMBL1802814,10224082,"2-(4-Ethoxyanilino)-N,N-diethyl-1-isopentyl-1H-benzimidazole-5-carboxamide",CCN(CC)C(=O)C1=CC2=C(C=C1)N(C(=N2)NC3=CC=C(C=C3)OCC)CCC(C)C,0.292,422.57300000000026,0,,False,PubChem 2D similarity
CHEMBL1802814,137649436,"N,N-diethyl-2-(4-phenoxyanilino)-1-(2-piperidin-1-ylethyl)benzimidazole-5-carboxamide",CCN(CC)C(=O)C1=CC2=C(C=C1)N(C(=N2)NC3=CC=C(C=C3)OC4=CC=CC=C4)CCN5CCCCC5,0.291,511.6700000000004,0,,False,PubChem 2D similarity
CHEMBL1802814,118310288,"(+-) methyl 6-methoxy-2-{[4-(propan-2-yloxy)phenyl]amino}-1-[(cis)-3,3,5-trimethylcyclohexyl]-1H-benzimidazole-5-carboxylate",C[C@@H]1C[C@@H](CC(C1)(C)C)N2C3=C(C=C(C(=C3)OC)C(=O)OC)N=C2NC4=CC=C(C=C4)OC(C)C,0.288,479.6210000000002,0,,False,PubChem 2D similarity
CHEMBL1802814,137658648,"N,N-diethyl-1-(3-methylbutyl)-2-(4-phenoxyanilino)benzimidazole-5-carboxamide",CCN(CC)C(=O)C1=CC2=C(C=C1)N(C(=N2)NC3=CC=C(C=C3)OC4=CC=CC=C4)CCC(C)C,0.287,470.61700000000025,0,,False,PubChem 2D similarity
CHEMBL1802814,124126006,"US10370339, Example 2-7",C[C@@H]1CC[C@H]([C@@H](C1)N2C3=C(C=C(C(=C3)OC)C(=O)OC)N=C2NC4=CC=C(C=C4)OC(F)(F)F)C(C)C,0.278,519.5640000000002,0,,False,PubChem 2D similarity
CHEMBL1802815,56662893,"N-[(2S)-1-amino-1-oxo-3-phenylpropan-2-yl]-4-[3-benzyl-2-(2-methylpropylamino)-8-oxopyrano[3,2-f]benzimidazol-6-yl]benzamide",CC(C)CNC1=NC2=C(N1CC3=CC=CC=C3)C=C4C(=C2)C(=O)C=C(O4)C5=CC=C(C=C5)C(=O)N[C@@H](CC6=CC=CC=C6)C(=O)N,1.0,613.7180000000002,0,,True,PubChem 2D similarity
CHEMBL1802815,,CHEMBL1802818,COc1ccc(Nc2nc3cc4c(=O)cc(-c5ccc(C(=O)N[C@@H](Cc6ccccc6)C(N)=O)cc5)oc4cc3n2Cc2ccccc2)cc1,0.761904776096344,,,,False,ChEMBL similarity (vendor status not resolved)
CHEMBL1802815,53362302,"N-[(2S)-1-amino-4-methyl-1-oxopentan-2-yl]-4-(3-benzyl-8-oxo-2-propan-2-ylpyrano[3,2-f]benzimidazol-6-yl)benzamide",CC(C)C[C@@H](C(=O)N)NC(=O)C1=CC=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3O2)N(C(=N4)C(C)C)CC5=CC=CC=C5,0.72,550.6590000000003,0,,False,PubChem 2D similarity
CHEMBL1802815,,CHEMBL1802819,CC(C)C[C@H](NC(=O)c1ccc(-c2cc(=O)c3cc4nc(C(C)C)n(Cc5ccccc5)c4cc3o2)cc1)C(N)=O,0.7195122241973877,,,,False,ChEMBL similarity (vendor status not resolved)
CHEMBL1802815,53362251,"N-[(2S)-1-amino-4-methyl-1-oxopentan-2-yl]-4-[3-benzyl-2-(4-methoxyanilino)-8-oxopyrano[3,2-f]benzimidazol-6-yl]benzamide",CC(C)C[C@@H](C(=O)N)NC(=O)C1=CC=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3O2)N(C(=N4)NC5=CC=C(C=C5)OC)CC6=CC=CC=C6,0.716,629.7170000000001,0,,False,PubChem 2D similarity
CHEMBL1802815,,CHEMBL1802817,COc1ccc(Nc2nc3cc4c(=O)cc(-c5ccc(C(=O)N[C@@H](CC(C)C)C(N)=O)cc5)oc4cc3n2Cc2ccccc2)cc1,0.7159090638160706,,,,False,ChEMBL similarity (vendor status not resolved)
CHEMBL1802815,53362303,"N-[(2S)-1-amino-1-oxo-3-phenylpropan-2-yl]-4-[3-[(1R)-1-cyclohexylethyl]-8-oxo-2-propan-2-ylpyrano[3,2-f]benzimidazol-6-yl]benzamide",C[C@H](C1CCCCC1)N2C3=C(C=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)C(=O)N[C@@H](CC6=CC=CC=C6)C(=O)N)N=C2C(C)C,0.64,604.751,0,,False,PubChem 2D similarity
