rank_network,rank_chemistry,compound_id,pref_name,best_metapath,best_target_gene,dwpc_at_best,p_cell_min,p_minp,q_bh,p_bonferroni,p_westfall_young,significant_bh,significant_bonferroni,significant_wy,edge_layers,n_seed_targets,pchembl_max,pchembl_EEF1A1,pchembl_EEF1A2,paralogue_log_selectivity,evidence_types,chembl_targets,stitch_score_max,stitch_experimental_max,stitch_database_max,stitch_textmining_max_discarded,stitch_targets,binds_eef1a_directly,substrate_relation_only,seed_targets,evidence_grade,assay_protein,n_supporting_assays,max_seed_proteins_in_one_document,example_assay_description,tractable_small_molecule,nucleotide_cofactor,structural_exclusion_reason,n_heavy_atoms,n_rings,sa_score,max_phase,alogp,mw,n_vendors,example_vendors,canonical_smiles,inchikey,pubchem_cid,structure_source
1,,CHEMBL113178,selenomethionine,CsGiG,EEF1A2,0.1558929466046397,9.999000099990002e-05,9.999000099990002e-05,0.0111488851114888,0.0445955404459554,9.999000099990002e-05,True,True,True,STITCH,5,,,,,,,755.0,755.0,0.0,0.0,EEF1A2|EEF1G|ETF1|HSF1|ST6GALNAC1,True,False,EEF1A2|EEF1G|ETF1|HSF1|ST6GALNAC1,stitch_only,,,,,False,False,contains metal/metalloid; acyclic; MW 196 < 250; 9 heavy atoms < 18,9,0,3.73,,,196.108,0,,C[Se]CCC(C(=O)O)N,,,ChEMBL
1,,CHEMBL1214873,CMP-NeuAc,CsGiG,EEF1A2,0.1525607889467058,9.999000099990002e-05,9.999000099990002e-05,0.0111488851114888,0.0445955404459554,9.999000099990002e-05,True,True,True,STITCH,1,,,,,,,900.0,0.0,900.0,139.0,ST6GALNAC1,False,True,ST6GALNAC1,stitch_only,,,,,True,True,,41,3,5.11,,,614.4540000000003,0,,CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=NC3=O)N)O)O)O,,,ChEMBL
1,1.0,CHEMBL5653589,,CbGpPW,EEF1A2,0.2561702168637927,9.999000099990002e-05,9.999000099990002e-05,0.0111488851114888,0.0445955404459554,9.999000099990002e-05,True,True,True,ChEMBL,8,9.31,,6.38,,Kd,EEF1A2|EEF1B2|EEF1D|EEF1G|RAN|RPL18A|RPS2|RPS3,,,,,,True,False,EEF1A2|EEF1B2|EEF1D|EEF1G|RAN|RPL18A|RPS2|RPS3,multiplexed_pulldown,EEF1B2,1.0,13.0,Binding affinity to human EEF1B2 incubated for 45 mins by Kinobead based pull down assay,True,False,,37,5,2.65,,5.75,503.48800000000017,29,10X CHEM; A2B Chem; AA BLOCKS; AChemBlock; AKos Consulting & Solutions,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,MWKSRKSEWLRPBL-UHFFFAOYSA-N,117602383.0,ChEMBL
1,,CHEMBL692,glycerol,CsGiG,EEF1A2,0.1743517509540071,9.999000099990002e-05,9.999000099990002e-05,0.0111488851114888,0.0445955404459554,9.999000099990002e-05,True,True,True,STITCH,5,,,,,,,941.0,704.0,800.0,185.0,EEF1G|HSF1|PAPSS1|PAPSS2|ST6GALNAC1,False,False,EEF1G|HSF1|PAPSS1|PAPSS2|ST6GALNAC1,stitch_only,,,,,False,False,acyclic; MW 92 < 250; 6 heavy atoms < 18,6,0,2.43,,,92.09399999999998,0,,C(C(CO)O)O,,,ChEMBL
5,,CHEMBL1236347,Tn antigen,CsGiG,EEF1A2,0.1525607889467058,0.0001999800019998,0.0003999600039996,0.0278722127787221,0.1783821617838216,0.1114888511148885,True,False,False,STITCH,1,,,,,,,900.0,0.0,900.0,269.0,ST6GALNAC1,False,True,ST6GALNAC1,stitch_only,,,,,True,False,,21,1,3.88,,,308.287,0,,CC(=O)NC1C(C(C(OC1OCC(C(=O)O)N)CO)O)O,,,ChEMBL
6,,CHEMBL1159819,chloride,CsGiG,EEF1A2,0.1355358062579397,0.0001999800019998,0.0004999500049995,0.0278722127787221,0.222977702229777,0.1114888511148885,True,False,False,STITCH,7,,,,,,,939.0,939.0,0.0,254.0,EEF1G|PAPSS1|PAPSS2|RPL3|RPL4|RPL7|ST6GALNAC1,False,False,EEF1G|PAPSS1|PAPSS2|RPL3|RPL4|RPL7|ST6GALNAC1,stitch_only,,,,,False,False,inorganic (no carbon); acyclic; MW 35 < 250; 1 heavy atoms < 18,1,0,8.48,,,35.453,0,,[Cl-],,,ChEMBL
6,,CHEMBL1200456,sulphate,CsGiG,EEF1A2,0.1155794387967333,0.0001999800019998,0.0004999500049995,0.0278722127787221,0.222977702229777,0.1114888511148885,True,False,False,STITCH,5,,,,,,,986.0,865.0,900.0,389.0,EEF1A2|EEF1G|ETF1|PAPSS1|PAPSS2,True,False,EEF1A2|EEF1G|ETF1|PAPSS1|PAPSS2,stitch_only,,,,,False,False,inorganic (no carbon); acyclic; MW 96 < 250; 5 heavy atoms < 18,5,0,3.8,,,96.06299999999999,0,,[O-]S(=O)(=O)[O-],,,ChEMBL
6,,PUBCHEM:84265,GalNAc alpha,CsGiG,EEF1A2,0.1525607889467058,0.0002999700029997,0.0004999500049995,0.0278722127787221,0.222977702229777,0.1970802919708029,True,False,False,STITCH,1,,,,,,,557.0,557.0,0.0,328.0,ST6GALNAC1,False,True,ST6GALNAC1,stitch_only,,,,,False,False,MW 221 < 250; 15 heavy atoms < 18,15,1,3.63,,,221.20899999999997,38,001Chemical; 10X CHEM; A2B Chem; AA BLOCKS; AChemBlock,CC(=O)NC1C(C(C(OC1O)CO)O)O,,84265.0,
9,,PUBCHEM:16760241,Tn antigen,CsGiG,EEF1A2,0.1525607889467058,0.0002999700029997,0.0005999400059994,0.0297303602973036,0.2675732426757324,0.1970802919708029,True,False,False,STITCH,1,,,,,,,900.0,0.0,900.0,268.0,ST6GALNAC1,False,True,ST6GALNAC1,stitch_only,,,,,True,False,,21,1,4.77,,,308.287,0,,CC(=O)NC1C(C(C(OC1OCC(C(=O)[O-])[NH3+])CO)O)O,,16760241.0,
10,,PUBCHEM:448209,CMP-sialic acid,CsGiG,EEF1A2,0.1525607889467058,0.0002999700029997,0.0006999300069993,0.0308738356933537,0.3121687831216878,0.1970802919708029,True,False,False,STITCH,1,,,,,,,900.0,0.0,900.0,113.0,ST6GALNAC1,False,True,ST6GALNAC1,stitch_only,,,,,True,True,,41,3,5.11,,,614.4540000000003,35,10X CHEM; A2B Chem; AA BLOCKS; AChemBlock; AbMole Bioscience,CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=NC3=O)N)O)O)O,,448209.0,
