compound_id,hetnet_rank,hetnet_best_metapath,hetnet_best_target,hetnet_dwpc,hetnet_p_value_bonferroni,significant,rank,best_record_score,total_potency,max_evidence,hits_eef1a,best_protein,in_resko_ranking,in_hetnet_ranking,in_both
CHEMBL5653589,1.0,CbGpCC,EEF1A2,0.4784492924559346,0.0303677559122915,True,3.0,9.0,11.0,2.0,False,EEF1G,True,True,True
CHEMBL1232461,2.0,CbGpPW,EEF1A1,0.2560680971184739,0.0474015546098194,True,6.0,8.0,2.0,2.0,True,EEF1A1,True,True,True
CHEMBL1802814,18.0,CbGpPW,EEF1A1,0.2492137435965214,0.0674753154075361,False,1.0,10.0,4.0,2.0,True,EEF1A1,True,True,True
CHEMBL1802815,18.0,CbGpPW,EEF1A1,0.2492137435965214,0.0674753154075361,False,2.0,10.0,4.0,2.0,True,EEF1A1,True,True,True
CHEMBL1802973,18.0,CbGpPW,EEF1A1,0.2492137435965214,0.0674753154075361,False,4.0,9.0,3.0,2.0,True,EEF1A1,True,True,True
CHEMBL1221911,2.0,CbGpPW,EEF1A1,0.2560680971184739,0.0474015546098194,True,,,,,,,False,True,False
CHEMBL123292,2.0,CbGpPW,EEF1A1,0.2560680971184739,0.0474015546098194,True,,,,,,,False,True,False
CHEMBL2303630,2.0,CbGpPW,EEF1A1,0.2560680971184739,0.0474015546098194,True,,,,,,,False,True,False
CHEMBL3799977,2.0,CbGpPW,EEF1A1,0.2560680971184739,0.0474015546098194,True,,,,,,,False,True,False
CHEMBL4066032,2.0,CbGpPW,EEF1A1,0.2560680971184739,0.0474015546098194,True,,,,,,,False,True,False
CHEMBL4067648,2.0,CbGpPW,EEF1A1,0.2560680971184739,0.0474015546098194,True,,,,,,,False,True,False
CHEMBL4070348,2.0,CbGpPW,EEF1A1,0.2560680971184739,0.0474015546098194,True,,,,,,,False,True,False
CHEMBL4072881,2.0,CbGpPW,EEF1A1,0.2560680971184739,0.0474015546098194,True,,,,,,,False,True,False
CHEMBL4088864,2.0,CbGpPW,EEF1A1,0.2560680971184739,0.0474015546098194,True,,,,,,,False,True,False
CHEMBL4094319,2.0,CbGpPW,EEF1A1,0.2560680971184739,0.0474015546098194,True,,,,,,,False,True,False
CHEMBL4095101,2.0,CbGpPW,EEF1A1,0.2560680971184739,0.0474015546098194,True,,,,,,,False,True,False
CHEMBL4097524,2.0,CbGpPW,EEF1A1,0.2560680971184739,0.0474015546098194,True,,,,,,,False,True,False
CHEMBL4105227,2.0,CbGpPW,EEF1A1,0.2560680971184739,0.0474015546098194,True,,,,,,,False,True,False
CHEMBL4294164,2.0,CbGpPW,EEF1A1,0.2560680971184739,0.0474015546098194,True,,,,,,,False,True,False
CHEMBL514569,2.0,CbGpPW,EEF1A1,0.2560680971184739,0.0474015546098194,True,,,,,,,False,True,False
CHEMBL3752910,,,,,,,5.0,8.0,19.0,2.0,False,EEF1G,True,False,False
