compound_id,hetnet_rank,hetnet_best_metapath,hetnet_best_target,hetnet_dwpc,hetnet_p_value_bonferroni,significant,rank,best_record_score,total_potency,max_evidence,hits_eef1a,best_protein,in_resko_ranking,in_hetnet_ranking,in_both
CHEMBL5653589,1,CbGiG,EEF1A1,0.4591556050007315,1.7603720198250437e-05,True,3.0,9.0,11.0,2.0,False,EEF1G,True,True,True
CHEMBL1802814,2,CbGpCC,EEF1A2,0.4028140301893395,0.0013866977832719,True,1.0,10.0,4.0,2.0,True,EEF1A1,True,True,True
CHEMBL1802815,2,CbGpCC,EEF1A2,0.4028140301893395,0.0013866977832719,True,2.0,10.0,4.0,2.0,True,EEF1A1,True,True,True
CHEMBL1802973,2,CbGpCC,EEF1A2,0.4028140301893395,0.0013866977832719,True,4.0,9.0,3.0,2.0,True,EEF1A1,True,True,True
CHEMBL3752910,6,CbGiG,EEF1A1,0.3302682175423095,0.0019588772969553,True,5.0,8.0,19.0,2.0,False,EEF1G,True,True,True
CHEMBL1232461,7,CbGpPW,EEF1A2,0.1501045793573056,0.0361579619222491,True,6.0,8.0,2.0,2.0,True,EEF1A1,True,True,True
CHEMBL4294164,5,CbGpPW,EEF1A2,0.2713166090490806,0.0018060725121432,True,,,,,,,False,True,False
CHEMBL4129274,8,CbGpPW,EEF1A2,0.0832553207401873,0.2108471979991457,False,,,,,,,False,True,False
CHEMBL1221911,9,CbGpPW,EEF1A1,0.2560680971184739,0.2209479065396969,False,,,,,,,False,True,False
CHEMBL2303630,9,CbGpPW,EEF1A1,0.2560680971184739,0.2209479065396969,False,,,,,,,False,True,False
CHEMBL3799977,9,CbGpPW,EEF1A1,0.2560680971184739,0.2209479065396969,False,,,,,,,False,True,False
CHEMBL4066032,9,CbGpPW,EEF1A1,0.2560680971184739,0.2209479065396969,False,,,,,,,False,True,False
CHEMBL4067648,9,CbGpPW,EEF1A1,0.2560680971184739,0.2209479065396969,False,,,,,,,False,True,False
CHEMBL4070348,9,CbGpPW,EEF1A1,0.2560680971184739,0.2209479065396969,False,,,,,,,False,True,False
CHEMBL4072881,9,CbGpPW,EEF1A1,0.2560680971184739,0.2209479065396969,False,,,,,,,False,True,False
CHEMBL4088864,9,CbGpPW,EEF1A1,0.2560680971184739,0.2209479065396969,False,,,,,,,False,True,False
CHEMBL4094319,9,CbGpPW,EEF1A1,0.2560680971184739,0.2209479065396969,False,,,,,,,False,True,False
CHEMBL4095101,9,CbGpPW,EEF1A1,0.2560680971184739,0.2209479065396969,False,,,,,,,False,True,False
CHEMBL4097524,9,CbGpPW,EEF1A1,0.2560680971184739,0.2209479065396969,False,,,,,,,False,True,False
CHEMBL4105227,9,CbGpPW,EEF1A1,0.2560680971184739,0.2209479065396969,False,,,,,,,False,True,False
CHEMBL514569,9,CbGpPW,EEF1A1,0.2560680971184739,0.2209479065396969,False,,,,,,,False,True,False
CHEMBL123292,22,CbG,EEF1A1,0.2333923201551646,0.568230518323009,False,,,,,,,False,True,False
CHEMBL101253,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1078178,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1079175,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1084546,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1088751,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1088752,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1090090,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1090479,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1091644,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1094408,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1171837,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1173655,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1201182,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1229517,23,CbGpCC,EEF1A1,0.0116054936882527,1.0,False,,,,,,,False,True,False
CHEMBL1230165,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1230607,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1230609,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1231124,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1233300,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1233528,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1234354,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1236107,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1236682,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1236962,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1240927,23,CbGpCC,EEF1A1,0.0050067065572759,1.0,False,,,,,,,False,True,False
CHEMBL1241855,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL124660,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1287853,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1289494,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1289601,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1289926,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1336,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL14762,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1614701,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1614707,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1614710,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1614713,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1614725,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1614766,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1615025,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1645462,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1667969,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1721885,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1738757,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1738797,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1789941,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL180022,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1801204,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1822792,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL186526,23,CbGpMF,EEF1A2,0.0064381754164776,1.0,False,,,,,,,False,True,False
CHEMBL1873475,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1879463,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL188678,23,CbGpMF,EEF1A2,0.0064381754164776,1.0,False,,,,,,,False,True,False
CHEMBL189963,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1908360,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1908391,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1908394,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1908397,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1922094,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1944698,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1946170,23,CbGiG,EEF1A1,0.0177833151705868,1.0,False,,,,,,,False,True,False
CHEMBL1950289,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1952329,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1976040,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL1983268,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2001019,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2017974,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2021569,23,CbGpCC,EEF1A1,0.0050067065572759,1.0,False,,,,,,,False,True,False
CHEMBL2021570,23,CbGpCC,EEF1A1,0.0050067065572759,1.0,False,,,,,,,False,True,False
CHEMBL2028663,23,CbGpCC,EEF1A1,0.0116054936882527,1.0,False,,,,,,,False,True,False
CHEMBL2029988,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2030402,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2035187,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2041933,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2048872,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL206834,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2079588,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2087361,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2103830,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2103839,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2103840,23,CbGpCC,EEF1A1,0.0116054936882527,1.0,False,,,,,,,False,True,False
CHEMBL2103842,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2103851,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2103875,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2103882,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2105717,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2105728,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2105759,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2107832,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2110732,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2133806,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
