rank_network,rank_chemistry,compound_id,pref_name,best_metapath,best_target_gene,dwpc_at_best,p_cell_min,p_minp,q_bh,p_bonferroni,p_westfall_young,significant_bh,significant_bonferroni,significant_wy,edge_layers,n_seed_targets,pchembl_max,pchembl_EEF1A1,pchembl_EEF1A2,paralogue_log_selectivity,evidence_types,chembl_targets,stitch_score_max,stitch_experimental_max,stitch_database_max,stitch_textmining_max_discarded,stitch_targets,binds_eef1a_directly,substrate_relation_only,seed_targets,evidence_grade,assay_protein,n_supporting_assays,max_seed_proteins_in_one_document,example_assay_description,tractable_small_molecule,nucleotide_cofactor,structural_exclusion_reason,n_heavy_atoms,n_rings,sa_score,max_phase,alogp,mw,n_vendors,example_vendors,canonical_smiles,inchikey,pubchem_cid,structure_source
1,,CHEMBL1214873,CMP-NeuAc,CsGiG,EEF1A2,0.1525607889467058,9.999000099990002e-05,9.999000099990002e-05,0.0111488851114888,0.0445955404459554,9.999000099990002e-05,True,True,True,STITCH,1,,,,,,,900.0,0.0,900.0,139.0,ST6GALNAC1,False,True,ST6GALNAC1,stitch_only,,,,,True,True,,41,3,5.11,,,614.4540000000003,0,,CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=NC3=O)N)O)O)O,,,ChEMBL
5,,CHEMBL1236347,Tn antigen,CsGiG,EEF1A2,0.1525607889467058,0.0001999800019998,0.0003999600039996,0.0278722127787221,0.1783821617838216,0.1114888511148885,True,False,False,STITCH,1,,,,,,,900.0,0.0,900.0,269.0,ST6GALNAC1,False,True,ST6GALNAC1,stitch_only,,,,,True,False,,21,1,3.88,,,308.287,0,,CC(=O)NC1C(C(C(OC1OCC(C(=O)O)N)CO)O)O,,,ChEMBL
6,,PUBCHEM:84265,GalNAc alpha,CsGiG,EEF1A2,0.1525607889467058,0.0002999700029997,0.0004999500049995,0.0278722127787221,0.222977702229777,0.1970802919708029,True,False,False,STITCH,1,,,,,,,557.0,557.0,0.0,328.0,ST6GALNAC1,False,True,ST6GALNAC1,stitch_only,,,,,False,False,MW 221 < 250; 15 heavy atoms < 18,15,1,3.63,,,221.20899999999997,38,001Chemical; 10X CHEM; A2B Chem; AA BLOCKS; AChemBlock,CC(=O)NC1C(C(C(OC1O)CO)O)O,,84265.0,
9,,PUBCHEM:16760241,Tn antigen,CsGiG,EEF1A2,0.1525607889467058,0.0002999700029997,0.0005999400059994,0.0297303602973036,0.2675732426757324,0.1970802919708029,True,False,False,STITCH,1,,,,,,,900.0,0.0,900.0,268.0,ST6GALNAC1,False,True,ST6GALNAC1,stitch_only,,,,,True,False,,21,1,4.77,,,308.287,0,,CC(=O)NC1C(C(C(OC1OCC(C(=O)[O-])[NH3+])CO)O)O,,16760241.0,
10,,PUBCHEM:448209,CMP-sialic acid,CsGiG,EEF1A2,0.1525607889467058,0.0002999700029997,0.0006999300069993,0.0308738356933537,0.3121687831216878,0.1970802919708029,True,False,False,STITCH,1,,,,,,,900.0,0.0,900.0,113.0,ST6GALNAC1,False,True,ST6GALNAC1,stitch_only,,,,,True,True,,41,3,5.11,,,614.4540000000003,35,10X CHEM; A2B Chem; AA BLOCKS; AChemBlock; AbMole Bioscience,CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=NC3=O)N)O)O)O,,448209.0,
13,,PUBCHEM:444104,glutathione sulfonic acid,CsGpPW,EEF1A2,0.0440893368118838,0.0005999400059994,0.0012998700129987,0.0308738356933537,0.5797420257974202,0.4031596840315968,True,False,False,STITCH,1,,,,,,,514.0,514.0,0.0,0.0,EEF1G,False,True,EEF1G,stitch_only,,,,,False,False,acyclic,23,0,3.14,,,355.32500000000005,34,001Chemical; 10X CHEM; A2B Chem; AA BLOCKS; AKos Consulting & Solutions,C(CC(=O)NC(CS(=O)(=O)O)C(=O)NCC(=O)O)C(C(=O)O)N,,444104.0,
14,,CHEMBL1160571,pyrophosphate,CsGiG,EEF1A2,0.0852885491135841,0.0004999500049995,0.0013998600139986,0.0308738356933537,0.6243375662433757,0.3405659434056594,True,False,False,STITCH,2,,,,,,,964.0,644.0,900.0,210.0,PAPSS1|PAPSS2,False,True,PAPSS1|PAPSS2,stitch_only,,,,,False,False,inorganic (no carbon); acyclic; MW 178 < 250; 9 heavy atoms < 18,9,0,3.05,,,177.973,0,,OP(=O)(O)OP(=O)(O)O,,,ChEMBL
15,,PUBCHEM:64730,glucans,CsGpPW,EEF1A2,0.0440893368118838,0.0006999300069993,0.0014998500149985,0.0308738356933537,0.668933106689331,0.4534546545345465,True,False,False,STITCH,1,,,,,,,561.0,561.0,0.0,145.0,EEF1G,False,True,EEF1G,stitch_only,,,,,False,False,acyclic,25,0,4.0,,,372.2790000000001,11,Aladdin Scientific; Alfa Chemistry; Alfa Chemistry; BOC Sciences; BOC Sciences,C(C(C(C(C(C=O)O)O)O)O)O.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,,64730.0,
16,,CHEMBL119596,EGEE,CsGpPW,EEF1A2,0.0440893368118838,0.0005999400059994,0.0015998400159984,0.0308738356933537,0.7135286471352865,0.4031596840315968,True,False,False,STITCH,1,,,,,,,477.0,477.0,0.0,0.0,EEF1G,False,True,EEF1G,stitch_only,,,,,False,False,acyclic; MW 90 < 250; 6 heavy atoms < 18,6,0,1.94,,,90.122,0,,CCOCCO,,,ChEMBL
16,,CHEMBL1206211,glucans,CsGpPW,EEF1A2,0.0440893368118838,0.0007999200079992,0.0015998400159984,0.0308738356933537,0.7135286471352865,0.504049595040496,True,False,False,STITCH,1,,,,,,,561.0,561.0,0.0,115.0,EEF1G,False,True,EEF1G,stitch_only,,,,,False,False,acyclic; MW 240 < 250; 16 heavy atoms < 18,16,0,3.74,,,240.208,0,,CC(=O)O.C(C(C(C(C(C=O)O)O)O)O)O,,,ChEMBL
